hop_id,name,op_code,allows_federated,result_ftype,reason_code,input_ftype_pattern,ftype_category,matrix_size
180,X_samples,AGGBINARY,True,,AGGR_BINARY_MIXED_NULL,ROW+NULL,,34100
180,X_samples,AGGBINARY,True,,TSMM_PATTERN,ROW+NULL,,34100
180,X_samples,AGGBINARY,True,,PROPAGATE_FROM_INPUT,ROW+NULL,,34100
258,centroids,AGGBINARY,False,,AGGR_BINARY_PROPAGATE,NULL_x2,,100
258,centroids,AGGBINARY,False,,DISALLOWED_OP,NULL_x2,,100
272,parsertemp134,AGGBINARY,False,,AGGR_BINARY_PROPAGATE,NULL_x2,,400
272,parsertemp134,AGGBINARY,False,,DISALLOWED_OP,NULL_x2,,400
281,parsertemp140,AGGBINARY,False,,AGGR_BINARY_PROPAGATE,NULL_x2,,34100
281,parsertemp140,AGGBINARY,False,,DISALLOWED_OP,NULL_x2,,34100
358,parsertemp296,AGGBINARY,True,,AGGR_BINARY_MIXED_NULL,ROW+NULL,,4000
358,parsertemp296,AGGBINARY,True,ROW,TSMM_PATTERN,ROW+NULL,ROW,4000
358,parsertemp296,AGGBINARY,True,ROW,PROPAGATE_FROM_INPUT,ROW+NULL,ROW,4000
419,parsertemp325,AGGBINARY,True,,AGGR_BINARY_COL_ROW,COL+ROW,,400
419,parsertemp325,AGGBINARY,True,,TSMM_PATTERN,COL+ROW,,400
419,parsertemp325,AGGBINARY,True,,PROPAGATE_FROM_INPUT,COL+ROW,,400
647,parsertemp391,AGGBINARY,True,,AGGR_BINARY_MIXED_NULL,ROW+NULL,,4000
647,parsertemp391,AGGBINARY,True,ROW,TSMM_PATTERN,ROW+NULL,ROW,4000
647,parsertemp391,AGGBINARY,True,ROW,PROPAGATE_FROM_INPUT,ROW+NULL,ROW,4000
