hop_id,name,op_code,allows_federated,result_ftype,reason_code,input_ftype_pattern,ftype_category,matrix_size
845,X,sq+,False,,AGGR_UNARY_DISALLOWED,ROW,,1
845,X,sq+,False,,DISALLOWED_OP,ROW,,1
178,is_row_in_samples,+,False,,UNKNOWN_HOP_TYPE,NULL,,341
178,is_row_in_samples,+,False,,DISALLOWED_OP,NULL,,341
848,X_samples,sq+,False,,UNKNOWN_HOP_TYPE,NULL,,341
848,X_samples,sq+,False,,DISALLOWED_OP,NULL,,341
240,parsertemp116,+,False,,UNKNOWN_HOP_TYPE,NULL,,1
240,parsertemp116,+,False,,DISALLOWED_OP,NULL,,1
870,centroids,sq+,False,,UNKNOWN_HOP_TYPE,NULL,,1
870,centroids,sq+,False,,DISALLOWED_OP,NULL,,1
283,parsertemp142,+,False,,UNKNOWN_HOP_TYPE,NULL,,341
283,parsertemp142,+,False,,DISALLOWED_OP,NULL,,341
874,C,sq+,False,,UNKNOWN_HOP_TYPE,NULL,,4
874,C,sq+,False,,DISALLOWED_OP,NULL,,4
366,minD,min,True,,AGGR_UNARY_ALLOWED,ROW,,1000
366,minD,min,True,ROW,AGGR_DIRECTION_MISMATCH,ROW,ROW,1000
366,minD,min,True,ROW,PROPAGATE_FROM_INPUT,ROW,ROW,1000
369,parsertemp303,+,True,,AGGR_UNARY_ALLOWED,ROW,,0
369,parsertemp303,+,True,,SCALAR_HOP,ROW,,0
369,parsertemp303,+,True,,PROPAGATE_FROM_INPUT,ROW,,0
414,parsertemp321,+,True,,AGGR_UNARY_ALLOWED,ROW,,1000
414,parsertemp321,+,True,ROW,AGGR_DIRECTION_MISMATCH,ROW,ROW,1000
414,parsertemp321,+,True,ROW,PROPAGATE_FROM_INPUT,ROW,ROW,1000
416,P_denom,+,True,,AGGR_UNARY_ALLOWED,ROW,,4
416,P_denom,+,True,,AGGR_DIRECTION_MISMATCH,ROW,,4
416,P_denom,+,True,,PROPAGATE_FROM_INPUT,ROW,,4
444,parsertemp334,+,False,,UNKNOWN_HOP_TYPE,NULL,,0
444,parsertemp334,+,False,,DISALLOWED_OP,NULL,,0
901,C,sq+,False,,UNKNOWN_HOP_TYPE,NULL,,4
901,C,sq+,False,,DISALLOWED_OP,NULL,,4
654,parsertemp397,min,True,,AGGR_UNARY_ALLOWED,ROW,,1000
654,parsertemp397,min,True,ROW,AGGR_DIRECTION_MISMATCH,ROW,ROW,1000
654,parsertemp397,min,True,ROW,PROPAGATE_FROM_INPUT,ROW,ROW,1000
661,parsertemp403,+,False,,UNKNOWN_HOP_TYPE,NULL,,1000
661,parsertemp403,+,False,,DISALLOWED_OP,NULL,,1000
