hop_id,name,op_code,allows_federated,result_ftype,reason_code,input_ftype_pattern,ftype_category,matrix_size
969,parsertemp11,/,False,,DISALLOWED_OP,NULL_x2,,341
969,parsertemp11,/,False,,DISALLOWED_OP,NULL_x2,,341
968,parsertemp12,+,False,,DISALLOWED_OP,NULL_x2,,341
968,parsertemp12,+,False,,DISALLOWED_OP,NULL_x2,,341
979,is_sample_rec_id_within_range,<=,False,,DISALLOWED_OP,NULL_x2,,341
979,is_sample_rec_id_within_range,<=,False,,DISALLOWED_OP,NULL_x2,,341
991,parsertemp25,*,False,,DISALLOWED_OP,NULL_x2,,341
991,parsertemp25,*,False,,DISALLOWED_OP,NULL_x2,,341
989,sample_positions,-,False,,DISALLOWED_OP,NULL_x2,,341
989,sample_positions,-,False,,DISALLOWED_OP,NULL_x2,,341
996,parsertemp29,/,False,,DISALLOWED_OP,NULL_x2,,341
996,parsertemp29,/,False,,DISALLOWED_OP,NULL_x2,,341
995,parsertemp30,+,False,,DISALLOWED_OP,NULL_x2,,341
995,parsertemp30,+,False,,DISALLOWED_OP,NULL_x2,,341
965,parsertemp16,*,False,,DISALLOWED_OP,NULL_x2,,341
965,parsertemp16,*,False,,DISALLOWED_OP,NULL_x2,,341
982,parsertemp18,-,False,,DISALLOWED_OP,NULL_x2,,341
982,parsertemp18,-,False,,DISALLOWED_OP,NULL_x2,,341
262,parsertemp129,+,False,,UNKNOWN_HOP_TYPE,NULL_x2,,0
262,parsertemp129,+,False,,DISALLOWED_OP,NULL_x2,,0
226,parsertemp112,+,False,,UNKNOWN_HOP_TYPE,NULL_x2,,0
226,parsertemp112,+,False,,DISALLOWED_OP,NULL_x2,,0
872,random_row,*,False,,UNKNOWN_HOP_TYPE,NULL_x2,,0
872,random_row,*,False,,DISALLOWED_OP,NULL_x2,,0
239,parsertemp115,<,False,,DISALLOWED_OP,NULL_x2,,341
239,parsertemp115,<,False,,DISALLOWED_OP,NULL_x2,,341
243,centroid_ids,+,False,,DISALLOWED_OP,NULL_x2,,1
243,centroid_ids,+,False,,DISALLOWED_OP,NULL_x2,,1
273,All_Centroids,+,False,,DISALLOWED_OP,NULL_x2,,400
273,All_Centroids,+,False,,DISALLOWED_OP,NULL_x2,,400
287,parsertemp145,==,False,,UNKNOWN_HOP_TYPE,NULL_x2,,0
287,parsertemp145,==,False,,DISALLOWED_OP,NULL_x2,,0
868,samples_vs_runs_map,*,False,,DISALLOWED_OP,NULL_x2,,-341
868,samples_vs_runs_map,*,False,,DISALLOWED_OP,NULL_x2,,-341
279,parsertemp139,+,False,,DISALLOWED_OP,NULL_x2,,341
279,parsertemp139,+,False,,DISALLOWED_OP,NULL_x2,,341
282,parsertemp141,*,False,,DISALLOWED_OP,NULL_x2,,34100
282,parsertemp141,*,False,,DISALLOWED_OP,NULL_x2,,34100
288,parsertemp146,*,False,,DISALLOWED_OP,NULL_x2,,341
288,parsertemp146,*,False,,DISALLOWED_OP,NULL_x2,,341
289,parsertemp147,min,False,,BINARY_MIN_DISALLOWED,NULL_x2,,341
289,parsertemp147,min,False,,DISALLOWED_OP,NULL_x2,,341
332,parsertemp248,-,False,,UNKNOWN_HOP_TYPE,NULL_x2,,0
