hop_id,name,op_code,allows_federated,result_ftype,reason_code,input_ftype_pattern,ftype_category,matrix_size
971,sample_rec_ids,RAND,False,,UNKNOWN_HOP_TYPE,NULL_x8,,341
971,sample_rec_ids,RAND,False,,DISALLOWED_OP,NULL_x8,,341
992,parsertemp24,SEQ,False,,UNKNOWN_HOP_TYPE,NULL_x3,,341
992,parsertemp24,SEQ,False,,DISALLOWED_OP,NULL_x3,,341
997,parsertemp28,SEQ,False,,UNKNOWN_HOP_TYPE,NULL_x3,,341
997,parsertemp28,SEQ,False,,DISALLOWED_OP,NULL_x3,,341
201,All_Centroids,RAND,False,,UNKNOWN_HOP_TYPE,NULL_x8,,400
201,All_Centroids,RAND,False,,DISALLOWED_OP,NULL_x8,,400
263,parsertemp130,SEQ,False,,UNKNOWN_HOP_TYPE,NULL_x3,,4
263,parsertemp130,SEQ,False,,DISALLOWED_OP,NULL_x3,,4
246,parsertemp119,SEQ,False,,UNKNOWN_HOP_TYPE,NULL_x3,,1
246,parsertemp119,SEQ,False,,DISALLOWED_OP,NULL_x3,,1
234,random_row,RAND,False,,UNKNOWN_HOP_TYPE,NULL_x8,,1
234,random_row,RAND,False,,DISALLOWED_OP,NULL_x8,,1
251,parsertemp121,SEQ,False,,UNKNOWN_HOP_TYPE,NULL_x3,,1
251,parsertemp121,SEQ,False,,DISALLOWED_OP,NULL_x3,,1
300,termination_code,RAND,False,,UNKNOWN_HOP_TYPE,NULL_x8,,1
300,termination_code,RAND,False,,DISALLOWED_OP,NULL_x8,,1
513,termination_bitmap,RAND,False,,UNKNOWN_HOP_TYPE,NULL_x8,,3
513,termination_bitmap,RAND,False,,DISALLOWED_OP,NULL_x8,,3
695,C,RAND,False,,UNKNOWN_HOP_TYPE,NULL_x8,,4000
695,C,RAND,False,,DISALLOWED_OP,NULL_x8,,4000
704,Y,RAND,False,,UNKNOWN_HOP_TYPE,NULL_x8,,1000
704,Y,RAND,False,,DISALLOWED_OP,NULL_x8,,1000
