hop_id,name,op_code,allows_federated,result_ftype,reason_code,input_ftype_pattern,ftype_category,matrix_size
764,X,Fed,True,ROW,DERIVED_FROM_FED_RANGES,NULL_x3,ROW,100000
160,X,TRead,True,ROW,PROPAGATE_FROM_INPUT,NO_INPUT,ROW,100000
164,sumXsq,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,1
986,samples_vs_runs_map,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,-341
921,is_row_in_samples,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,341
181,X_samples,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,34100
185,X_samples_sq_norms,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,341
202,All_Centroids,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,400
203,min_distances,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,341
205,__pred,TWrite,True,,UNKNOWN_HOP_TYPE,NULL,,0
205,__pred,TWrite,True,,SCALAR_HOP,NULL,,0
205,__pred,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,0
207,__pred,TWrite,True,,UNKNOWN_HOP_TYPE,NULL,,1
207,__pred,TWrite,True,,SCALAR_HOP,NULL,,1
207,__pred,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,1
214,All_Centroids,TRead,True,,PROPAGATE_FROM_INPUT,NO_INPUT,,400
217,min_distances,TRead,True,,PROPAGATE_FROM_INPUT,NO_INPUT,,341
218,X_samples,TRead,True,,PROPAGATE_FROM_INPUT,NO_INPUT,,34100
274,All_Centroids,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,400
213,is_row_in_samples,TRead,True,,PROPAGATE_FROM_INPUT,NO_INPUT,,341
209,X_samples_sq_norms,TRead,True,,PROPAGATE_FROM_INPUT,NO_INPUT,,341
208,samples_vs_runs_map,TRead,True,,PROPAGATE_FROM_INPUT,NO_INPUT,,-341
291,min_distances,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,341
301,termination_code,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,1
310,final_wcss,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,1
319,num_iterations,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,1
325,__pred,TWrite,True,,UNKNOWN_HOP_TYPE,NULL,,0
325,__pred,TWrite,True,,SCALAR_HOP,NULL,,0
325,__pred,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,0
327,__pred,TWrite,True,,UNKNOWN_HOP_TYPE,NULL,,1
327,__pred,TWrite,True,,SCALAR_HOP,NULL,,1
327,__pred,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,1
329,All_Centroids,TRead,True,,PROPAGATE_FROM_INPUT,NO_INPUT,,400
340,C,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,400
341,C_old,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,400
343,iter_count,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,0
345,term_code,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,0
347,wcss,TWrite,True,,PROPAGATE_FROM_INPUT,NULL,,0
348,term_code,TRead,True,,PROPAGATE_FROM_INPUT,NO_INPUT,,0
351,__pred,TWrite,True,,UNKNOWN_HOP_TYPE,NULL,,0
