hop_id,name,op_code,allows_federated,result_ftype,reason_code,input_ftype_pattern,ftype_category,matrix_size
357,parsertemp295,r',False,,UNKNOWN_HOP_TYPE,NULL,,400
357,parsertemp295,r',False,,DISALLOWED_OP,NULL,,400
363,parsertemp300,r',False,,UNKNOWN_HOP_TYPE,NULL,,4
363,parsertemp300,r',False,,DISALLOWED_OP,NULL,,4
418,parsertemp324,r',True,,UNKNOWN_HOP_TYPE,ROW,,4000
418,parsertemp324,r',True,COL,REORG_TRANS_COL_ROW,ROW,COL,4000
418,parsertemp324,r',True,COL,PROPAGATE_FROM_INPUT,ROW,COL,4000
420,parsertemp326,r',False,,UNKNOWN_HOP_TYPE,NULL,,4
420,parsertemp326,r',False,,DISALLOWED_OP,NULL,,4
646,parsertemp390,r',False,,UNKNOWN_HOP_TYPE,NULL,,400
646,parsertemp390,r',False,,DISALLOWED_OP,NULL,,400
652,parsertemp395,r',False,,UNKNOWN_HOP_TYPE,NULL,,4
652,parsertemp395,r',False,,DISALLOWED_OP,NULL,,4
656,parsertemp399,r',True,,UNKNOWN_HOP_TYPE,ROW,,4000
656,parsertemp399,r',True,COL,REORG_TRANS_COL_ROW,ROW,COL,4000
656,parsertemp399,r',True,COL,PROPAGATE_FROM_INPUT,ROW,COL,4000
658,aggr_P,r',False,,UNKNOWN_HOP_TYPE,NULL,,4000
658,aggr_P,r',False,,DISALLOWED_OP,NULL,,4000
