hop_id,name,op_code,allows_federated,result_ftype,reason_code,input_ftype_pattern,ftype_category,matrix_size
970,parsertemp7,log,False,,UNARY_DISALLOWED_OP,NULL,,341
970,parsertemp7,log,False,,DISALLOWED_OP,NULL,,341
967,sample_rec_ids,round,False,,UNARY_DISALLOWED_OP,NULL,,341
967,sample_rec_ids,round,False,,DISALLOWED_OP,NULL,,341
966,sample_rec_ids,ucumk+,True,,UNARY_ALLOWED,NULL,,341
966,sample_rec_ids,ucumk+,True,,UNKNOWN_HOP_TYPE,NULL,,341
966,sample_rec_ids,ucumk+,True,,PROPAGATE_FROM_INPUT,NULL,,341
994,col_positions,round,False,,UNARY_DISALLOWED_OP,NULL,,341
994,col_positions,round,False,,DISALLOWED_OP,NULL,,341
1000,sample_col_map,ncol,False,,UNARY_METADATA_OP,NULL,,1
1000,sample_col_map,ncol,False,,DISALLOWED_OP,NULL,,1
222,cdf_min_distances,ucumk+,True,,UNARY_ALLOWED,NULL,,341
222,cdf_min_distances,ucumk+,True,,UNKNOWN_HOP_TYPE,NULL,,341
222,cdf_min_distances,ucumk+,True,,PROPAGATE_FROM_INPUT,NULL,,341
871,random_row,castdts,True,,UNARY_ALLOWED,NULL,,0
871,random_row,castdts,True,,SCALAR_HOP,NULL,,0
871,random_row,castdts,True,,PROPAGATE_FROM_INPUT,NULL,,0
865,cdf_min_distances,castdts,True,,UNARY_ALLOWED,NULL,,0
865,cdf_min_distances,castdts,True,,SCALAR_HOP,NULL,,0
865,cdf_min_distances,castdts,True,,PROPAGATE_FROM_INPUT,NULL,,0
863,parsertemp116,castdtm,True,,UNARY_ALLOWED,NULL,,1
863,parsertemp116,castdtm,True,,UNKNOWN_HOP_TYPE,NULL,,1
863,parsertemp116,castdtm,True,,PROPAGATE_FROM_INPUT,NULL,,1
522,parsertemp349,ncol,False,,UNARY_METADATA_OP,NULL,,0
522,parsertemp349,ncol,False,,DISALLOWED_OP,NULL,,0
566,num_successful_runs,castdts,True,,UNARY_ALLOWED,NULL,,0
566,num_successful_runs,castdts,True,,SCALAR_HOP,NULL,,0
566,num_successful_runs,castdts,True,,PROPAGATE_FROM_INPUT,NULL,,0
888,parsertemp362,castdts,True,,UNARY_ALLOWED,NULL,,0
888,parsertemp362,castdts,True,,SCALAR_HOP,NULL,,0
888,parsertemp362,castdts,True,,PROPAGATE_FROM_INPUT,NULL,,0
879,termination_bitmap,castdts,True,,UNARY_ALLOWED,NULL,,0
879,termination_bitmap,castdts,True,,SCALAR_HOP,NULL,,0
879,termination_bitmap,castdts,True,,PROPAGATE_FROM_INPUT,NULL,,0
881,parsertemp369,castdts,True,,UNARY_ALLOWED,NULL,,0
881,parsertemp369,castdts,True,,SCALAR_HOP,NULL,,0
881,parsertemp369,castdts,True,,PROPAGATE_FROM_INPUT,NULL,,0
611,best_index,castvti,True,,UNARY_ALLOWED,NULL,,0
611,best_index,castvti,True,,SCALAR_HOP,NULL,,0
611,best_index,castvti,True,,PROPAGATE_FROM_INPUT,NULL,,0
657,parsertemp400,ucumk+,True,,UNARY_ALLOWED,COL,,4000
657,parsertemp400,ucumk+,True,,UNKNOWN_HOP_TYPE,COL,,4000
657,parsertemp400,ucumk+,True,,PROPAGATE_FROM_INPUT,COL,,4000
688,parsertemp468,print,False,,UNARY_DISALLOWED_OP,NO_INPUT,,1
688,parsertemp468,print,False,,DISALLOWED_OP,NO_INPUT,,1
