Operation_Type,Total_Count,FType_NULL_%,FType_COL_%,FType_ROW_%,FType_Other_%,AllowsFederated_%,GetFType_NotNull_%,Reason_AGGR_BINARY_COL_ROW_%,Reason_AGGR_BINARY_MIXED_NULL_%,Reason_AGGR_BINARY_PROPAGATE_%,Reason_AGGR_DIRECTION_MISMATCH_%,Reason_AGGR_UNARY_ALLOWED_%,Reason_AGGR_UNARY_DISALLOWED_%,Reason_BINARY_MIN_DISALLOWED_%,Reason_BINARY_MIXED_NULL_%,Reason_BINARY_SAME_FTYPE_%,Reason_DERIVED_FROM_FED_RANGES_%,Reason_DISALLOWED_OP_%,Reason_FIRST_NON_NULL_%,Reason_PROPAGATE_FROM_INPUT_%,Reason_REORG_TRANS_COL_ROW_%,Reason_SCALAR_HOP_%,Reason_TSMM_PATTERN_%,Reason_UNARY_ALLOWED_%,Reason_UNARY_DISALLOWED_OP_%,Reason_UNARY_METADATA_OP_%,Reason_UNKNOWN_HOP_TYPE_%
LiteralOp,190,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
DataOp,101,96.0,0.0,4.0,0.0,98.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,79.2,0.0,8.9,0.0,0.0,0.0,0.0,9.9
BinaryOp,97,85.6,0.0,14.4,0.0,21.6,14.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1,3.1,0.0,50.5,7.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0,26.8
UnaryOp,45,100.0,0.0,0.0,0.0,73.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,24.4,0.0,15.6,0.0,24.4,8.9,4.4,8.9
AggUnaryOp,35,82.9,0.0,17.1,0.0,42.9,17.1,0.0,0.0,0.0,11.4,14.3,2.9,0.0,0.0,0.0,0.0,28.6,0.0,14.3,0.0,2.9,0.0,0.0,0.0,0.0,25.7
DataGenOp,24,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
AggBinaryOp,18,77.8,0.0,22.2,0.0,66.7,22.2,5.6,16.7,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,22.2,0.0,0.0,22.2,0.0,0.0,0.0,0.0
ReorgOp,18,77.8,22.2,0.0,0.0,33.3,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,11.1,11.1,0.0,0.0,0.0,0.0,0.0,44.4
TernaryOp,16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
IndexingOp,12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
NaryOp,12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
LeftIndexingOp,8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
ParameterizedBuiltinOp,6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
FunctionOp,2,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
