hop_id,type,operation,reason_code,description
164,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
180,ALLOWED_BUT_NULL,AggBinaryOp.AGGBINARY,AGGR_BINARY_MIXED_NULL,Operation allowed but FType is NULL
180,ALLOWED_BUT_NULL,AggBinaryOp.AGGBINARY,TSMM_PATTERN,Operation allowed but FType is NULL
180,ALLOWED_BUT_NULL,AggBinaryOp.AGGBINARY,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
181,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
185,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
202,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
203,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
205,ALLOWED_BUT_NULL,DataOp.TWrite,UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
205,ALLOWED_BUT_NULL,DataOp.TWrite,SCALAR_HOP,Operation allowed but FType is NULL
205,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
207,ALLOWED_BUT_NULL,DataOp.TWrite,UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
207,ALLOWED_BUT_NULL,DataOp.TWrite,SCALAR_HOP,Operation allowed but FType is NULL
207,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
208,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
209,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
213,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
214,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
217,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
218,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
222,ALLOWED_BUT_NULL,UnaryOp.ucumk+,UNARY_ALLOWED,Operation allowed but FType is NULL
222,ALLOWED_BUT_NULL,UnaryOp.ucumk+,UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
222,ALLOWED_BUT_NULL,UnaryOp.ucumk+,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
274,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
291,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
301,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
