type,op_code,total_ops,allowed_ops,allow_rate,non_null_ftype_count,total_ops_verify,non_null_ftype_rate,operation_name
DataGenOp,SEQ,10,0,0.0,10,10,1.0,DataGenOp.SEQ
ParameterizedBuiltinOp,REXPAND,4,0,0.0,4,4,1.0,ParameterizedBuiltinOp.REXPAND
ParameterizedBuiltinOp,REPLACE,2,0,0.0,2,2,1.0,ParameterizedBuiltinOp.REPLACE
NaryOp,LIST,12,0,0.0,12,12,1.0,NaryOp.LIST
LiteralOp,UNKNOWN,190,0,0.0,190,190,1.0,LiteralOp.UNKNOWN
LeftIndexingOp,UNKNOWN,8,0,0.0,8,8,1.0,LeftIndexingOp.UNKNOWN
IndexingOp,UNKNOWN,12,0,0.0,12,12,1.0,IndexingOp.UNKNOWN
TernaryOp,ctable,6,0,0.0,6,6,1.0,TernaryOp.ctable
UnaryOp,round,4,0,0.0,4,4,1.0,UnaryOp.round
UnaryOp,log,2,0,0.0,2,2,1.0,UnaryOp.log
DataOp,PWrite,2,0,0.0,2,2,1.0,DataOp.PWrite
UnaryOp,ncol,4,0,0.0,4,4,1.0,UnaryOp.ncol
TernaryOp,ifelse,2,0,0.0,2,2,1.0,TernaryOp.ifelse
TernaryOp,+*,6,0,0.0,6,6,1.0,TernaryOp.+*
DataGenOp,RAND,14,0,0.0,14,14,1.0,DataGenOp.RAND
BinaryOp,>=,2,0,0.0,2,2,1.0,BinaryOp.>=
BinaryOp,>,4,0,0.0,4,4,1.0,BinaryOp.>
BinaryOp,==,6,0,0.0,6,6,1.0,BinaryOp.==
BinaryOp,<,4,0,0.0,4,4,1.0,BinaryOp.<
BinaryOp,-,12,0,0.0,12,12,1.0,BinaryOp.-
BinaryOp,!=,2,0,0.0,2,2,1.0,BinaryOp.!=
AggUnaryOp,sq+,10,0,0.0,10,10,1.0,AggUnaryOp.sq+
UnaryOp,print,2,0,0.0,2,2,1.0,UnaryOp.print
BinaryOp,min,2,0,0.0,2,2,1.0,BinaryOp.min
TernaryOp,-*,2,0,0.0,2,2,1.0,TernaryOp.-*
BinaryOp,+,34,6,0.176,34,34,1.0,BinaryOp.+
BinaryOp,*,34,6,0.176,34,34,1.0,BinaryOp.*
BinaryOp,/,9,3,0.333,9,9,1.0,BinaryOp./
ReorgOp,r',18,6,0.333,18,18,1.0,ReorgOp.r'
AggUnaryOp,+,19,9,0.474,19,19,1.0,AggUnaryOp.+
BinaryOp,<=,10,6,0.6,10,10,1.0,BinaryOp.<=
AggBinaryOp,AGGBINARY,18,12,0.667,18,18,1.0,AggBinaryOp.AGGBINARY
UnaryOp,castvti,3,3,1.0,3,3,1.0,UnaryOp.castvti
UnaryOp,castdts,18,18,1.0,18,18,1.0,UnaryOp.castdts
DataOp,TWrite,64,64,1.0,64,64,1.0,DataOp.TWrite
FunctionOp,m_kmeans,3,3,1.0,3,3,1.0,FunctionOp.m_kmeans
DataOp,TRead,34,34,1.0,34,34,1.0,DataOp.TRead
DataOp,Fed,1,1,1.0,1,1,1.0,DataOp.Fed
AggUnaryOp,min,6,6,1.0,6,6,1.0,AggUnaryOp.min
UnaryOp,castdtm,3,3,1.0,3,3,1.0,UnaryOp.castdtm
UnaryOp,ucumk+,9,9,1.0,9,9,1.0,UnaryOp.ucumk+
