type,op_code,total_ops,allowed_ops,allow_rate,non_null_ftype_count,total_ops_verify,non_null_ftype_rate,operation_name
AggBinaryOp,AGGBINARY,18,12,0.667,4,18,0.222,AggBinaryOp.AGGBINARY
AggUnaryOp,+,19,9,0.474,2,19,0.105,AggUnaryOp.+
AggUnaryOp,min,6,6,1.0,4,6,0.667,AggUnaryOp.min
AggUnaryOp,sq+,10,0,0.0,0,10,0.0,AggUnaryOp.sq+
BinaryOp,!=,2,0,0.0,0,2,0.0,BinaryOp.!=
BinaryOp,*,34,6,0.176,4,34,0.118,BinaryOp.*
BinaryOp,+,34,6,0.176,4,34,0.118,BinaryOp.+
BinaryOp,-,12,0,0.0,0,12,0.0,BinaryOp.-
BinaryOp,/,9,3,0.333,2,9,0.222,BinaryOp./
BinaryOp,<,4,0,0.0,0,4,0.0,BinaryOp.<
BinaryOp,<=,10,6,0.6,4,10,0.4,BinaryOp.<=
BinaryOp,==,6,0,0.0,0,6,0.0,BinaryOp.==
BinaryOp,>,4,0,0.0,0,4,0.0,BinaryOp.>
BinaryOp,>=,2,0,0.0,0,2,0.0,BinaryOp.>=
BinaryOp,min,2,0,0.0,0,2,0.0,BinaryOp.min
DataGenOp,RAND,14,0,0.0,0,14,0.0,DataGenOp.RAND
DataGenOp,SEQ,10,0,0.0,0,10,0.0,DataGenOp.SEQ
DataOp,Fed,1,1,1.0,1,1,1.0,DataOp.Fed
DataOp,PWrite,2,0,0.0,0,2,0.0,DataOp.PWrite
DataOp,TRead,34,34,1.0,3,34,0.088,DataOp.TRead
DataOp,TWrite,64,64,1.0,0,64,0.0,DataOp.TWrite
FunctionOp,m_kmeans,3,3,1.0,0,3,0.0,FunctionOp.m_kmeans
IndexingOp,UNKNOWN,12,0,0.0,0,12,0.0,IndexingOp.UNKNOWN
LeftIndexingOp,UNKNOWN,8,0,0.0,0,8,0.0,LeftIndexingOp.UNKNOWN
LiteralOp,UNKNOWN,190,0,0.0,0,190,0.0,LiteralOp.UNKNOWN
NaryOp,LIST,12,0,0.0,0,12,0.0,NaryOp.LIST
ParameterizedBuiltinOp,REPLACE,2,0,0.0,0,2,0.0,ParameterizedBuiltinOp.REPLACE
ParameterizedBuiltinOp,REXPAND,4,0,0.0,0,4,0.0,ParameterizedBuiltinOp.REXPAND
ReorgOp,r',18,6,0.333,4,18,0.222,ReorgOp.r'
TernaryOp,+*,6,0,0.0,0,6,0.0,TernaryOp.+*
TernaryOp,-*,2,0,0.0,0,2,0.0,TernaryOp.-*
TernaryOp,ctable,6,0,0.0,0,6,0.0,TernaryOp.ctable
TernaryOp,ifelse,2,0,0.0,0,2,0.0,TernaryOp.ifelse
UnaryOp,castdtm,3,3,1.0,0,3,0.0,UnaryOp.castdtm
UnaryOp,castdts,18,18,1.0,0,18,0.0,UnaryOp.castdts
UnaryOp,castvti,3,3,1.0,0,3,0.0,UnaryOp.castvti
UnaryOp,log,2,0,0.0,0,2,0.0,UnaryOp.log
UnaryOp,ncol,4,0,0.0,0,4,0.0,UnaryOp.ncol
UnaryOp,print,2,0,0.0,0,2,0.0,UnaryOp.print
UnaryOp,round,4,0,0.0,0,4,0.0,UnaryOp.round
UnaryOp,ucumk+,9,9,1.0,0,9,0.0,UnaryOp.ucumk+
