type,op_code,allows_federated_count,allows_federated_sum,allows_federated_mean,ftype_category_<lambda>,reason_code_<lambda>,num_inputs_mean,num_inputs_std,matrix_size_mean,matrix_size_median
AggBinaryOp,AGGBINARY,18,12,0.667,"{'NULL': 14, 'ROW': 4}","{'TSMM_PATTERN': 4, 'PROPAGATE_FROM_INPUT': 4, 'AGGR_BINARY_MIXED_NULL': 3, 'AGGR_BINARY_PROPAGATE': 3, 'DISALLOWED_OP': 3, 'AGGR_BINARY_COL_ROW': 1}",2.0,0.0,10927.778,4000.0
AggUnaryOp,+,19,9,0.474,"{'NULL': 17, 'ROW': 2}","{'UNKNOWN_HOP_TYPE': 5, 'DISALLOWED_OP': 5, 'AGGR_UNARY_ALLOWED': 3, 'PROPAGATE_FROM_INPUT': 3, 'AGGR_DIRECTION_MISMATCH': 2, 'SCALAR_HOP': 1}",1.0,0.0,335.684,4.0
AggUnaryOp,min,6,6,1.0,"{'ROW': 4, 'NULL': 2}","{'AGGR_UNARY_ALLOWED': 2, 'AGGR_DIRECTION_MISMATCH': 2, 'PROPAGATE_FROM_INPUT': 2}",1.0,0.0,1000.0,1000.0
AggUnaryOp,sq+,10,0,0.0,{'NULL': 10},"{'DISALLOWED_OP': 5, 'UNKNOWN_HOP_TYPE': 4, 'AGGR_UNARY_DISALLOWED': 1}",1.0,0.0,70.2,4.0
BinaryOp,!=,2,0,0.0,{'NULL': 2},"{'UNKNOWN_HOP_TYPE': 1, 'DISALLOWED_OP': 1}",2.0,0.0,0.0,0.0
BinaryOp,*,28,6,0.214,"{'NULL': 24, 'ROW': 4}","{'DISALLOWED_OP': 14, 'UNKNOWN_HOP_TYPE': 8, 'BINARY_MIXED_NULL': 2, 'FIRST_NON_NULL': 2, 'PROPAGATE_FROM_INPUT': 2}",2.0,0.0,2099.393,0.0
BinaryOp,+,28,6,0.214,"{'NULL': 24, 'ROW': 4}","{'DISALLOWED_OP': 14, 'UNKNOWN_HOP_TYPE': 8, 'BINARY_MIXED_NULL': 2, 'FIRST_NON_NULL': 2, 'PROPAGATE_FROM_INPUT': 2}",2.0,0.0,943.714,0.0
BinaryOp,-,9,0,0.0,{'NULL': 9},"{'DISALLOWED_OP': 6, 'UNKNOWN_HOP_TYPE': 3}",2.0,0.0,75.889,0.0
BinaryOp,/,6,3,0.5,"{'NULL': 4, 'ROW': 2}","{'DISALLOWED_OP': 3, 'BINARY_SAME_FTYPE': 1, 'FIRST_NON_NULL': 1, 'PROPAGATE_FROM_INPUT': 1}",2.0,0.0,2180.333,2200.0
BinaryOp,<,3,0,0.0,{'NULL': 3},"{'DISALLOWED_OP': 2, 'UNKNOWN_HOP_TYPE': 1}",2.0,0.0,113.667,0.0
BinaryOp,<=,8,6,0.75,"{'NULL': 4, 'ROW': 4}","{'BINARY_SAME_FTYPE': 2, 'FIRST_NON_NULL': 2, 'PROPAGATE_FROM_INPUT': 2, 'DISALLOWED_OP': 2}",2.0,0.0,3043.125,4000.0
BinaryOp,==,5,0,0.0,{'NULL': 5},"{'DISALLOWED_OP': 3, 'UNKNOWN_HOP_TYPE': 2}",2.0,0.0,800.0,0.0
BinaryOp,>,4,0,0.0,{'NULL': 4},"{'UNKNOWN_HOP_TYPE': 2, 'DISALLOWED_OP': 2}",2.0,0.0,0.0,0.0
BinaryOp,>=,2,0,0.0,{'NULL': 2},"{'UNKNOWN_HOP_TYPE': 1, 'DISALLOWED_OP': 1}",2.0,0.0,0.0,0.0
BinaryOp,min,2,0,0.0,{'NULL': 2},"{'BINARY_MIN_DISALLOWED': 1, 'DISALLOWED_OP': 1}",2.0,0.0,341.0,341.0
DataGenOp,RAND,14,0,0.0,{'NULL': 14},"{'UNKNOWN_HOP_TYPE': 7, 'DISALLOWED_OP': 7}",8.0,0.0,820.857,341.0
DataGenOp,SEQ,10,0,0.0,{'NULL': 10},"{'UNKNOWN_HOP_TYPE': 5, 'DISALLOWED_OP': 5}",3.0,0.0,137.6,4.0
DataOp,Fed,1,1,1.0,{'ROW': 1},{'DERIVED_FROM_FED_RANGES': 1},3.0,,100000.0,100000.0
DataOp,PWrite,2,0,0.0,{'NULL': 2},"{'UNKNOWN_HOP_TYPE': 1, 'DISALLOWED_OP': 1}",7.0,0.0,-4.0,-4.0
DataOp,TRead,34,34,1.0,"{'NULL': 31, 'ROW': 3}",{'PROPAGATE_FROM_INPUT': 34},0.0,0.0,9929.324,1.0
DataOp,TWrite,64,64,1.0,{'NULL': 64},"{'PROPAGATE_FROM_INPUT': 46, 'UNKNOWN_HOP_TYPE': 9, 'SCALAR_HOP': 9}",1.0,0.0,699.125,1.0
FunctionOp,m_kmeans,2,2,1.0,{'NULL': 2},"{'UNKNOWN_HOP_TYPE': 1, 'PROPAGATE_FROM_INPUT': 1}",8.0,0.0,1.0,1.0
IndexingOp,UNKNOWN,12,0,0.0,{'NULL': 12},"{'UNKNOWN_HOP_TYPE': 6, 'DISALLOWED_OP': 6}",5.0,0.0,77.0,1.0
