# G009 P1/P2 candidate-affecting branch inventory delta review
# baseline_head	d960f063ac82e98848705ebe7a006cde1b3d8dc1
# baseline_manifest_source	HEAD:src/test/resources/org/apache/sysds/hops/fedplanner/placement/candidate-affecting-branches.tsv
# baseline_manifest_sha256	761556dd427475c824c3bcb4121c0b3be1e5b82c6cedee1108c2efcb885ecc20
# final_working_tree_head	d960f063ac82e98848705ebe7a006cde1b3d8dc1
# final_native_placement_continuity_sha256	a1a2b90329e37bdb9a50c7fe1f5911b90831c4397007be43e9dbdf6d13d7ded9
# final_native_placement_continuity_test_sha256	3f82e3c58d984f6a3eb30b4624ed464e99755104f60ea999afadb82dd6f456c0
# final_manifest_sha256	66e9dc9949f712bb3c7cc1741bdc9e52c71f9470130efc59811440bc12f5a9ba
# comparison	prior tracked raw manifest at baseline HEAD versus exact scanner output from final working tree
# stage_attribution	P0=a5df779706 instrumentation; P1=d960f063ac memo admission/byte-budget; P2=uncommitted final direct acyclic DAG working tree
# pairing_rule	Unchanged moves require exact file/kind/snippet_sha256 plus same method or one of the three P0 wrapper-extraction method mappings; duplicate exact snippets are paired in stable source order.
# modified_predicate_policy	Used only when direction-opposite rows retain the exact branch ID/file/kind/method but have different snippet digests, proving that source inside that branch changed.
# total_removed	127
# total_added	222
# total_delta	349
# count	ADDED	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	115
# count	ADDED	P0_MEASUREMENT_INSTRUMENTATION_MODIFIED_PREDICATE	3
# count	ADDED	P0_MEASUREMENT_INSTRUMENTATION_SOURCE_CHANGE	38
# count	ADDED	P1_MEMO_ADMISSION_OR_BYTE_BUDGET_CHANGE	11
# count	ADDED	P1_MEMO_ADMISSION_OR_BYTE_BUDGET_MODIFIED_PREDICATE	1
# count	ADDED	P2_DIRECT_ACYCLIC_DAG_EVALUATION	54
# count	REMOVED	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	115
# count	REMOVED	P0_MEASUREMENT_INSTRUMENTATION_MODIFIED_PREDICATE	3
# count	REMOVED	P0_MEASUREMENT_INSTRUMENTATION_SOURCE_CHANGE	2
# count	REMOVED	P1_MEMO_ADMISSION_OR_BYTE_BUDGET_CHANGE	6
# count	REMOVED	P1_MEMO_ADMISSION_OR_BYTE_BUDGET_MODIFIED_PREDICATE	1
#
direction	id	file	line_start	line_end	kind	method	classification	counterpart_id	snippet_sha256
REMOVED	BR-df320ff459b16a47	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	194	194	TERNARY	<init>	P0_MEASUREMENT_INSTRUMENTATION_MODIFIED_PREDICATE	BR-df320ff459b16a47	965683faecb6be949deba5579cbb1b86f4f96d0b0b9bb1ece0320df5497e2f97
REMOVED	BR-3b9e3e2ddb476e3e	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	356	358	IF	cacheCompletedProofs	P1_MEMO_ADMISSION_OR_BYTE_BUDGET_CHANGE	-	fe67230889f97aa501f1ffede915b139effda79f247ee325e96a4d65081f260c
REMOVED	BR-f004fc750b5a044c	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	356	357	SHORT_CIRCUIT	cacheCompletedProofs	P1_MEMO_ADMISSION_OR_BYTE_BUDGET_CHANGE	-	5eca0c8e8d7245468603ac9bf8564c454fc223531c859888f9aff9ac382d111b
REMOVED	BR-ee48c83a64c575ad	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	359	362	SHORT_CIRCUIT	cacheCompletedProofs	P1_MEMO_ADMISSION_OR_BYTE_BUDGET_CHANGE	-	33022ea680b74fd70ee7392e1bea65e51b97ebcf7a4aa013b196e39a65209a69
REMOVED	BR-3f8ca76290e0ffcb	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	359	369	WHILE	cacheCompletedProofs	P1_MEMO_ADMISSION_OR_BYTE_BUDGET_CHANGE	-	5497f0c14e37b823ac233016deac34b26bf1bbe6fb9676058b9f9ea4b880bd4a
REMOVED	BR-9b9dd18f6e7d889b	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	360	362	SHORT_CIRCUIT	cacheCompletedProofs	P1_MEMO_ADMISSION_OR_BYTE_BUDGET_CHANGE	-	45b511461bd7de86bc8bb52d079414245c49c740088f6e31fed5a579890030c5
REMOVED	BR-fb0ad486d5790a31	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	360	361	SHORT_CIRCUIT	cacheCompletedProofs	P1_MEMO_ADMISSION_OR_BYTE_BUDGET_CHANGE	-	699e3b9d9fdbe03345b2d0790ab39a3d0b0ec1327d3885ddc30ea992d78bf147
REMOVED	BR-85073f8d3735821b	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	380	384	ENHANCED_FOR	estimatedProofBytes	P1_MEMO_ADMISSION_OR_BYTE_BUDGET_MODIFIED_PREDICATE	BR-85073f8d3735821b	a3bce7ed9acc293a89691e58053cfa1b80c49db6617a58a63946396b7367f19f
REMOVED	BR-09cd150b0d687878	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	499	510	IF	computeCandidateSupportAlternatives	P0_MEASUREMENT_INSTRUMENTATION_MODIFIED_PREDICATE	BR-09cd150b0d687878	2f3c82f24aa3bce7ba47cdccfc9d65f58a8e4b044a7de1c40adb50c2356a4203
REMOVED	BR-bda289cb60779c67	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	502	509	IF	computeCandidateSupportAlternatives	P0_MEASUREMENT_INSTRUMENTATION_SOURCE_CHANGE	-	6f77c78e984252e42f11e8bc5fb623e32a49ba99390f10a4d77692f654e4b53d
