# G009 P2 shared-summary candidate-affecting branch inventory delta review
# baseline_head	dca7e41bed03ca36b1b0ad2da80fc72b83c3b1b6
# baseline_manifest_source	HEAD:src/test/resources/org/apache/sysds/hops/fedplanner/placement/candidate-affecting-branches.tsv
# baseline_manifest_sha256	66e9dc9949f712bb3c7cc1741bdc9e52c71f9470130efc59811440bc12f5a9ba
# final_working_tree_head	dca7e41bed03ca36b1b0ad2da80fc72b83c3b1b6
# final_native_placement_continuity_sha256	86f23df5673eba707fd4c6a8707751ec9bf59b0d54a3f3ca8a0cb415fb189dc5
# final_native_placement_continuity_test_sha256	eecdd17fcf9f449802883323dd24e4a28a6d1dac8673d3f64ffdd75e183300f6
# final_manifest_sha256	4533af7d6ba477bb56832a447a08a017342b63c47fa6238ba202344b084b0638
# comparison	tracked HEAD manifest versus exact scanner output from final slice-2 working tree
# pairing_rule	First pair exact file/kind/method/snippet digest in stable source order; only then pair identical branch ID/file/kind/method with a changed digest as a modified predicate.
# modified_predicate_policy	P2_SHARED_SUMMARY_MODIFIED_PREDICATE requires identical branch identity and different subtree digest; the ordinal-reused BR-b360e0cdd90afea1 addition is therefore new while its unchanged predecessor pairs to BR-cd8c760261782dcf.
# total_removed	4
# total_added	43
# total_delta	47
# count	ADDED	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	1
# count	ADDED	P2_SHARED_SUMMARY_CACHE_EVALUATION	39
# count	ADDED	P2_SHARED_SUMMARY_MODIFIED_PREDICATE	3
# count	REMOVED	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	1
# count	REMOVED	P2_SHARED_SUMMARY_MODIFIED_PREDICATE	3
#
direction	id	file	line_start	line_end	kind	method	classification	counterpart_id	snippet_sha256
REMOVED	BR-6ce32bb951d4dc61	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	685	689	IF	computeDirectAcyclicSupport	P2_SHARED_SUMMARY_MODIFIED_PREDICATE	BR-6ce32bb951d4dc61	b337b480fe7ac150a453268652e84c1eb466feef589341c4a41a2adc0b848536
REMOVED	BR-b360e0cdd90afea1	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	754	755	IF	evaluateDirectCandidateState	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	BR-cd8c760261782dcf	e4c888ef586971dca032bea95160085a27d9ea2dcb2e98ffb1424c14aa1975d1
REMOVED	BR-8d182b362ba54477	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	769	810	ENHANCED_FOR	evaluateDirectCandidateState	P2_SHARED_SUMMARY_MODIFIED_PREDICATE	BR-8d182b362ba54477	a9f57ff98fabe9d01d34643b9120354f9e31e1e6de4b57a4daec35003a0f9038
REMOVED	BR-c63956da85ff6ad2	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	777	794	ENHANCED_FOR	evaluateDirectCandidateState	P2_SHARED_SUMMARY_MODIFIED_PREDICATE	BR-c63956da85ff6ad2	3759fe948a1e10bfbde5e3f2cf1b09d25b6ab3bc6025d94673caece4cade36ca
ADDED	BR-50ce6270fd8c9ce0	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	223	224	SHORT_CIRCUIT	<init>	P2_SHARED_SUMMARY_CACHE_EVALUATION	-	cfb95f2f34b1fb56f58df17dc05dd6d9c69bb969f443a727c18de8cf73252f5b
ADDED	BR-9ef5b6378363de75	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	223	224	SHORT_CIRCUIT	<init>	P2_SHARED_SUMMARY_CACHE_EVALUATION	-	7ae43fee1790410e65bc77680fa6ba9701e7d7764765638b0ca446505e782bb9
ADDED	BR-0ba3a87902753afb	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	231	232	TERNARY	<init>	P2_SHARED_SUMMARY_CACHE_EVALUATION	-	84958c7d2d12f9b5426e35a5fe534dddc344634eecd3543af2b498468ea4266a
ADDED	BR-6ce32bb951d4dc61	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	702	706	IF	computeDirectAcyclicSupport	P2_SHARED_SUMMARY_MODIFIED_PREDICATE	BR-6ce32bb951d4dc61	025feac3e692c8acabbe2eb6602319b11c33b72965f0a39cd6b0ad1690997b0f
ADDED	BR-d2d615db1a9374a3	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	766	774	IF	evaluateDirectCandidateState	P2_SHARED_SUMMARY_CACHE_EVALUATION	-	6611294c27627ac55a861f714d9a246a31e8ddc14c2a1cf4d76d86334fd8389f
ADDED	BR-825784f70f5a40d2	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	766	766	SHORT_CIRCUIT	evaluateDirectCandidateState	P2_SHARED_SUMMARY_CACHE_EVALUATION	-	5c7393bf35353c9ab22febde242260d3f5b181737367c7c0860e383608a2612d
