# G009 P3 CFG selective-replay candidate-affecting branch inventory delta review
# baseline_head	33f4317669a510816d90df20d79ef3fa90bb1f21
# baseline_manifest_source	HEAD:src/test/resources/org/apache/sysds/hops/fedplanner/placement/candidate-affecting-branches.tsv
# baseline_manifest_sha256	be659bfb5aee39ac018008b1a2794202ee8cb53fc6d34b85d2a90b8b6245ee5c
# final_working_tree_head	33f4317669a510816d90df20d79ef3fa90bb1f21
# final_candidate_affecting_branch_scanner_sha256	4232543c3402a820b1ae0288318abf44709a70b6508be475450224715d6000ab
# final_neutral_placement_graph_builder_sha256	427922d4e849df90e0379a3ce409b31b5413a68bed75118315cd13332c3ce833
# final_candidate_closure_dependencies_sha256	922e46f89e4caaec048c1f0626f838e4277706e71cb0c37b2d382be81e65ebdb
# final_search_space_metrics_sha256	815112c0fcdc4e0b679a0e92b879473564beb0c345f5de44e3a78d93917a0a08
# final_candidate_closure_dependencies_test_sha256	43864c69bf1f8c7c3d22d30fcdcbfe466afa72665b26bd3e46d08bdeacaa8304
# final_neutral_placement_fixed_point_test_sha256	33f09019ca9bdc370ec45ce0c104b54cba5033f1f70ea0fc9063dffd0968ed91
# final_manifest_sha256	1a23d522201004d9208978ecbbb297b0f4126de6c69fc6425db23df10550c7f7
# comparison	tracked P3 Patch A HEAD manifest versus exact scanner output from final P3 Patch B working tree
# scanner_scope	Candidate-affecting sources only; SearchSpaceMetrics provenance is hashed but it is intentionally not a scanner source.
# pairing_rule	Exact old replay branches are paired to the extracted selected-replay method by file/kind/snippet digest in stable source order; modified pairs require reviewed source counterparts with changed subtree digests; all remaining additions are classified by guard/frontier/fallback/shadow/preservation/metrics responsibility.
# total_removed	45
# total_added	134
# total_delta	179
# count	ADDED	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	42
# count	ADDED	P3_CFG_SELECTIVE_REPLAY_FALLBACK	12
# count	ADDED	P3_CFG_SELECTIVE_REPLAY_FRONTIER	26
# count	ADDED	P3_CFG_SELECTIVE_REPLAY_GUARD	31
# count	ADDED	P3_CFG_SELECTIVE_REPLAY_METRICS	9
# count	ADDED	P3_CFG_SELECTIVE_REPLAY_MODIFIED_PREDICATE	3
# count	ADDED	P3_CFG_SELECTIVE_REPLAY_PRESERVATION	6
# count	ADDED	P3_CFG_SELECTIVE_REPLAY_SHADOW	5
# count	REMOVED	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	42
# count	REMOVED	P3_CFG_SELECTIVE_REPLAY_MODIFIED_PREDICATE	3
#
direction	id	file	line_start	line_end	kind	method	classification	counterpart_id	snippet_sha256
REMOVED	BR-f713d932d3a6958d	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2526	2645	FOR	closeCfgTransientCandidateDependenciesMeasured	P3_CFG_SELECTIVE_REPLAY_MODIFIED_PREDICATE	BR-f713d932d3a6958d	434a4fe2c7dff028d8a7b3b5a7a7ddf8841d5a819acab2b085e0ee9630cd83ec
REMOVED	BR-8c0cdf4734b34c3f	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	3167	3168	IF	replayUniqueCfgTransientForwards	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	BR-b3b2767f43e5d8cb	3c5534daf70ae593121b7e2e2d942b00d4682dca9612ae1bfc919018ca1c1b34
REMOVED	BR-80343eabf6472c4c	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	3168	3168	THROW	replayUniqueCfgTransientForwards	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	BR-42ea6dda8f2e0a39	edcf2917d9385b99d52473511587fb6ac963d84427f77696868618b8d3db6493
REMOVED	BR-1e9054d1d023d2a5	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	3170	3177	FOR	replayUniqueCfgTransientForwards	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	BR-9be0d77bba4d86fe	26c60279041523c85b9e853ef4fc67e756f850cf42cd12e72261f221585b485d
REMOVED	BR-46dbec6d1c7fd957	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	3173	3175	IF	replayUniqueCfgTransientForwards	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	BR-f8869e41dcb17adc	15a22f5974a09c48bd18b0a888ed0901a23fd523e69c8cc6bc380b3b8d1c17f8
REMOVED	BR-2df280601c9720f7	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	3173	3174	SHORT_CIRCUIT	replayUniqueCfgTransientForwards	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	BR-6142d874ca2b1f89	34567c516e3d0b965b389d990f1d1d229dfc99f6ef425c0a28984d31a32f0022
REMOVED	BR-747501eba9f54735	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	3175	3175	THROW	replayUniqueCfgTransientForwards	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	BR-1fdd0d96dddf8e7d	82bcd87613a7ee56c517e97e9561eac43e56f817d0870ea2c7ded8293a33b878
REMOVED	BR-974f426dada29fd3	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	3176	3176	MERGE	replayUniqueCfgTransientForwards	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	BR-8fef3da34ab0f3da	3ecc9b13e84a27ab038843824e3743b208cd36f0cf7b79fd81f15f68f7641517
REMOVED	BR-d09f3772cb776c96	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	3185	3238	FOR	replayUniqueCfgTransientForwards	P3_CFG_SELECTIVE_REPLAY_MODIFIED_PREDICATE	BR-4db82c463ceeaae6	9fa8838ca18d69c744e0cde2170e090b43fd33b7c00305b1dcbfc318c83b759e
REMOVED	BR-5ce0a157471d1fde	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	3188	3191	SHORT_CIRCUIT	replayUniqueCfgTransientForwards	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	BR-5924c28e4d59f098	9d9ed4c8b88328b71181ee2919fab745b724520e819bdb00bf9376feb904700b
