# G009 P3 typed direct-delta candidate-affecting branch inventory delta review
# baseline_head	5e14e75862f0d194f4d3b7abcbd4ccfd4d5b53af
# baseline_manifest_source	HEAD:src/test/resources/org/apache/sysds/hops/fedplanner/placement/candidate-affecting-branches.tsv
# baseline_manifest_sha256	4533af7d6ba477bb56832a447a08a017342b63c47fa6238ba202344b084b0638
# final_working_tree_head	5e14e75862f0d194f4d3b7abcbd4ccfd4d5b53af
# final_candidate_affecting_branch_scanner_sha256	4232543c3402a820b1ae0288318abf44709a70b6508be475450224715d6000ab
# final_neutral_placement_graph_builder_sha256	9795ff423591728e7892fb4064fb8ce1d98a60e85536859fac3554edd7ec16c0
# final_candidate_closure_dependencies_sha256	cd65498f6b27aa1b58c7befb101943d876942a1d30bf311f530380048db44b11
# final_neutral_placement_fixed_point_test_sha256	692ee0056918badde5299f10bfc815c5fef679044ef0a538e3d6d5fe4f7e7f31
# final_candidate_closure_dependencies_test_sha256	d3215a4c4c615f383eba5eba3f4ad6ded4e2ee12f415bb0554a171d823660093
# final_manifest_sha256	be659bfb5aee39ac018008b1a2794202ee8cb53fc6d34b85d2a90b8b6245ee5c
# comparison	tracked HEAD manifest versus exact scanner output from final P3 Patch A working tree, including CandidateClosureDependencies.java
# pairing_rule	Pair exact file/kind/method/snippet digest first; then classify identical branch ID/file/kind/method with a changed digest as modified; remaining rows are assigned by owning P3 source, method, and branch kind.
# modified_predicate_policy	P3_DIRECT_DELTA_MODIFIED_PREDICATE requires identical branch identity and a different subtree digest.
# total_removed	40
# total_added	127
# total_delta	167
# count	ADDED	P3_DIRECT_DELTA_METRICS	3
# count	ADDED	P3_DIRECT_DELTA_MODIFIED_PREDICATE	5
# count	ADDED	P3_DIRECT_DELTA_SHADOW	4
# count	ADDED	P3_TYPED_DIRECT_DELTA_SCHEDULING	115
# count	REMOVED	P3_DIRECT_DELTA_MODIFIED_PREDICATE	5
# count	REMOVED	P3_TYPED_DIRECT_DELTA_SCHEDULING	35
#
direction	id	file	line_start	line_end	kind	method	classification	counterpart_id	snippet_sha256
REMOVED	BR-f713d932d3a6958d	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2518	2633	FOR	closeCfgTransientCandidateDependenciesMeasured	P3_DIRECT_DELTA_MODIFIED_PREDICATE	BR-f713d932d3a6958d	43772c71d80e99d1d67a76ae0e507942060343ce9b84ac91706426c745001de2
REMOVED	BR-f62fa1b66f7b07a6	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2537	2555	FOR	closeCfgTransientCandidateDependenciesMeasured	P3_DIRECT_DELTA_MODIFIED_PREDICATE	BR-f62fa1b66f7b07a6	bed817a9b350d9cf02b657fa6c00e691d7a829135b38841a81d96ad79a7aebdf
REMOVED	BR-c5fbe2d0afdf5090	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2540	2540	TERNARY	closeCfgTransientCandidateDependenciesMeasured	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	026030a730c951ba3b3bebd2e8fbd3ede635a8f28253cac182b3a4c1f0b0ee26
REMOVED	BR-c73b1b5d9a469dd3	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2543	2544	IF	closeCfgTransientCandidateDependenciesMeasured	P3_DIRECT_DELTA_MODIFIED_PREDICATE	BR-c73b1b5d9a469dd3	1f1801a28dff9a295bdc35272372eb052582d85ccea2d61e58a806695a5efe2a
REMOVED	BR-1daece33d058d04d	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2596	2615	FOR	closeCfgTransientCandidateDependenciesMeasured	P3_DIRECT_DELTA_MODIFIED_PREDICATE	BR-1daece33d058d04d	d616bb13de5a1a0f7b9d92e46baae3ac13ee8fac80bfee8cbc3b09f8ff9a1a73
REMOVED	BR-00a785a5d81016d5	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2600	2600	TERNARY	closeCfgTransientCandidateDependenciesMeasured	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	1e345178e28627ca0967bac45e5afe85f25bb6729d1c921cb6bb3bd63fcb052e
REMOVED	BR-c63eb7e2c39b43bd	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2603	2604	IF	closeCfgTransientCandidateDependenciesMeasured	P3_DIRECT_DELTA_MODIFIED_PREDICATE	BR-c63eb7e2c39b43bd	c122c25631bb7ccccf2ff839d18bc28cb212a065b2beb1863d9f391a73b09921
REMOVED	BR-97efce125f21f529	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2909	2910	ENHANCED_FOR	changedCandidateOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	fb076f69e3af3f7b03433aa1e70f2f6e137a1c4ebf76c8e433c0477d5902a6bd
REMOVED	BR-2b77d014c6f1055e	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2910	2910	MERGE	changedCandidateOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	516d5cbd0eff0db0a6c2239d9ecb26cbf92810ad59289d01a795345b1c81aad0
REMOVED	BR-c7689089ca441a9c	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2911	2912	ENHANCED_FOR	changedCandidateOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	1b04460cc332128bf2f4936029abcf41bd3581e22c71de49034ee1bacdf24d77
