# G009 R0-R2 candidate-affecting branch inventory delta review
# baseline_head	e29f4fc30d19cc228b013e786d76424cb7954d7e
# baseline_manifest_source	HEAD:src/test/resources/org/apache/sysds/hops/fedplanner/placement/candidate-affecting-branches.tsv
# baseline_manifest_sha256	1a23d522201004d9208978ecbbb297b0f4126de6c69fc6425db23df10550c7f7
# final_working_tree_head	e29f4fc30d19cc228b013e786d76424cb7954d7e
# final_NeutralPlacementGraphBuilder_sha256	82c5a72ba89ce5446901a7e08a4ec214e71176912f67e0bc3944b77d65c0b92c
# final_CandidateClosureDependencies_sha256	8c36ee6dfb43aef988f9f8bbf7bb6cfe13f02b61b505016c03b37f8ce693ff7b
# final_NativePlacementContinuity_sha256	fbb28e3b11080b1db8917b8b7d973d05d548aa92ae337e0c8c5c8494708d621a
# final_CandidateSelections_sha256	dbebdac384ee5de8ce6d97e86e2876a99cda83852eb75c0d5c23ac74252ab1f6
# final_RelocationSelections_sha256	2d19553730af5ed88f37ecfe7bb40a0125e324cebaa5eef8e1230eb86bcfc597
# final_PlacementIdentity_sha256	fdd24217f8fe8f87b102cff8b4f515d110e3cb06c7925d7490fc62d80a40a20b
# final_manifest_sha256	1aa4453133bd20d13290be4419e31ff022e2ca12f654655f9a935e29fbb56336
# comparison	tracked HEAD manifest (last regenerated at P3 selective replay) versus exact scanner output from the final R0-R2 working tree; therefore the review explicitly carries forward the previously unrecorded P4 branch deltas before classifying current worktree changes.
# historical_attribution	Exact scanner manifests were regenerated from archived source at c0dc78e819, 11da9ff723, 6ef346ebc7, and e29f4fc30d; each unpaired row is attributed to the first exact subtree version where it appears/disappears.
# pairing_rule	Pair exact file/kind/method/snippet digest in stable source order first; then pair identical branch ID/file/kind/method with changed subtree digest as a modified predicate; all remaining rows are classified by historical stage and owning current-worktree method.
# modified_predicate_policy	A MODIFIED_PREDICATE pair requires identical branch identity and a different exact scanner subtree digest.
# total_removed	223
# total_added	474
# total_delta	697
# count	ADDED	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	5
# count	ADDED	P4_COMPACT_FACTORIZED_SUPPORT_CLOSURE	10
# count	ADDED	P4_COMPACT_FACTORIZED_SUPPORT_CLOSURE_MODIFIED_PREDICATE	4
# count	ADDED	P4_FACTORIZED_ANALYSIS_PROPAGATION	153
# count	ADDED	P4_FACTORIZED_ANALYSIS_PROPAGATION_MODIFIED_PREDICATE	41
# count	ADDED	P4_FACTORIZED_NATIVE_PROOF_PRODUCTS	183
# count	ADDED	P4_FACTORIZED_NATIVE_PROOF_PRODUCTS_MODIFIED_PREDICATE	12
# count	ADDED	R0_EXISTING_CANONICALIZATION_CLARIFICATION_MODIFIED_PREDICATE	4
# count	ADDED	R0_EXISTING_HASH_CACHE_VALIDATION	15
# count	ADDED	R0_EXISTING_REVISION_REUSE	7
# count	ADDED	R0_EXISTING_REVISION_REUSE_MODIFIED_PREDICATE	2
# count	ADDED	R0_EXISTING_TOPOLOGY_CACHE_BOUNDARY	12
# count	ADDED	R0_EXISTING_TOPOLOGY_CACHE_BOUNDARY_MODIFIED_PREDICATE	1
# count	ADDED	R1_STATIC_BROADCAST_CAPABILITY_INDEX	3
# count	ADDED	R1_STATIC_BROADCAST_CAPABILITY_INDEX_MODIFIED_PREDICATE	1
# count	ADDED	R1_STATIC_DIRECT_BINDING_INDEX	10
# count	ADDED	R1_STATIC_DIRECT_BINDING_INDEX_MODIFIED_PREDICATE	9
# count	ADDED	R2_STRUCTURAL_NOOP_EQUALITY_REUSE	2
# count	REMOVED	MOVED_OR_RENUMBERED_UNCHANGED_PREDICATE	5
# count	REMOVED	P4_COMPACT_FACTORIZED_SUPPORT_CLOSURE	3
# count	REMOVED	P4_COMPACT_FACTORIZED_SUPPORT_CLOSURE_MODIFIED_PREDICATE	4
# count	REMOVED	P4_FACTORIZED_ANALYSIS_PROPAGATION	80
# count	REMOVED	P4_FACTORIZED_ANALYSIS_PROPAGATION_MODIFIED_PREDICATE	41
# count	REMOVED	P4_FACTORIZED_NATIVE_PROOF_PRODUCTS	43
# count	REMOVED	P4_FACTORIZED_NATIVE_PROOF_PRODUCTS_MODIFIED_PREDICATE	12
# count	REMOVED	R0_EXISTING_CANONICALIZATION_CLARIFICATION_MODIFIED_PREDICATE	4
# count	REMOVED	R0_EXISTING_REVISION_REUSE	3
# count	REMOVED	R0_EXISTING_REVISION_REUSE_MODIFIED_PREDICATE	2
# count	REMOVED	R0_EXISTING_TOPOLOGY_CACHE_BOUNDARY	3
# count	REMOVED	R0_EXISTING_TOPOLOGY_CACHE_BOUNDARY_MODIFIED_PREDICATE	1
# count	REMOVED	R1_STATIC_BROADCAST_CAPABILITY_INDEX	2
# count	REMOVED	R1_STATIC_BROADCAST_CAPABILITY_INDEX_MODIFIED_PREDICATE	1
# count	REMOVED	R1_STATIC_DIRECT_BINDING_INDEX	10
# count	REMOVED	R1_STATIC_DIRECT_BINDING_INDEX_MODIFIED_PREDICATE	9
#
direction	id	file	line_start	line_end	kind	method	classification	counterpart_id	snippet_sha256
REMOVED	BR-3f5c6f823557e72e	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	153	154	IF	classify	P4_FACTORIZED_ANALYSIS_PROPAGATION	-	92a59f0c0ed85c97eb6ef00add8d4da390e3a06134ca4e1134df7d48920ac61f
REMOVED	BR-883720c304055f78	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	194	201	ENHANCED_FOR	realizationsSubset	P4_FACTORIZED_ANALYSIS_PROPAGATION_MODIFIED_PREDICATE	BR-883720c304055f78	069b79bd0a369b08489a10128545b4ca6659fd9f94e81e49e87f4105988b8429
REMOVED	BR-50bbdeea5446fc04	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	198	200	IF	realizationsSubset	P4_FACTORIZED_ANALYSIS_PROPAGATION	-	142403b3b932e4739a1a92fbe55bb8240a588ba51f06d261cdd7b74b9901824f
REMOVED	BR-57a05e0c90bcd1fc	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	198	199	SHORT_CIRCUIT	realizationsSubset	P4_FACTORIZED_ANALYSIS_PROPAGATION	-	eeddcfd513caf47a9c20a04c7892fe06b0a62a152e9b894c6e6bf5fbe30e5f13
REMOVED	BR-6e6740ff60de3932	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	260	268	ENHANCED_FOR	nextRevision	R0_EXISTING_REVISION_REUSE_MODIFIED_PREDICATE	BR-6e6740ff60de3932	bc97f5bb718fbf44dabe865fd6c8d22ad4ab5bcfce6188ff1cc4c5d9a7f93baa
REMOVED	BR-1f56474a1b644f12	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	262	265	IF	nextRevision	R0_EXISTING_REVISION_REUSE	-	efe251bcd6ee443aea2fb1f1633638c9ee081983dadc0677d86676f0b05633f9
REMOVED	BR-c4050a1916a45d8c	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	262	264	SHORT_CIRCUIT	nextRevision	R0_EXISTING_REVISION_REUSE	-	913f24440817550a7ab616a085f4d0688f7bef2a82e9335519460b3f368040e6
REMOVED	BR-fbf944bc3bd04044	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	270	283	ENHANCED_FOR	nextRevision	R0_EXISTING_REVISION_REUSE_MODIFIED_PREDICATE	BR-fbf944bc3bd04044	42be08d0fa2bd2910b10bdd82788fa31a349ee848b8d253bb4af30ff82cdd401
REMOVED	BR-c6861100d2ec27da	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	273	275	SHORT_CIRCUIT	nextRevision	R0_EXISTING_REVISION_REUSE	-	913f24440817550a7ab616a085f4d0688f7bef2a82e9335519460b3f368040e6
REMOVED	BR-02487c4d2c2e7dce	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	349	350	IF	computeCandidateAlternatives	P4_FACTORIZED_NATIVE_PROOF_PRODUCTS	-	2e1a68d0f808d87d8a7b3d08baae7b369895f0ef39765c9b81249a5daced9f3b
REMOVED	BR-2b022ef77c4a575f	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	350	350	RETURN	computeCandidateAlternatives	P4_FACTORIZED_NATIVE_PROOF_PRODUCTS	-	506ae24b8abc89c966e0987cb7260ea2b746f073825b77b716e09438da0a48bb
REMOVED	BR-10213b8a5cbe502f	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	354	355	IF	computeCandidateAlternatives	P4_FACTORIZED_NATIVE_PROOF_PRODUCTS	-	36adf8228028c08474e87f8f8818e8afff0d72e6cd1feca852c482248c758075
REMOVED	BR-8307058e95d62f1f	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	354	354	SHORT_CIRCUIT	computeCandidateAlternatives	P4_FACTORIZED_NATIVE_PROOF_PRODUCTS	-	ca159265e2b40255f7fbad5a5ac2086ce3e51db2da7c2c5ac59768891e105efb
REMOVED	BR-9282cffc6de25daa	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	356	357	IF	computeCandidateAlternatives	P4_FACTORIZED_NATIVE_PROOF_PRODUCTS	-	6057413eb8b7f13ad173653ec7bd1c41cd935f3191562f16fec6ca4666288ff7
REMOVED	BR-6f1f3a9e89ba768c	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	357	357	RETURN	computeCandidateAlternatives	P4_FACTORIZED_NATIVE_PROOF_PRODUCTS	-	506ae24b8abc89c966e0987cb7260ea2b746f073825b77b716e09438da0a48bb
REMOVED	BR-46f27ef24011a11e	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	359	360	IF	computeCandidateAlternatives	P4_FACTORIZED_NATIVE_PROOF_PRODUCTS	-	55b1437d38dd0e0abd938d1d5423cef8e7402fca95bfc01e80779427e6eb1701
