# G009 R2 boundary-fastpath candidate-affecting branch inventory delta review
# baseline_head	8a557f08dbb3e87a5902663a78668ae37c5ada80
# baseline_manifest_source	HEAD:src/test/resources/org/apache/sysds/hops/fedplanner/placement/candidate-affecting-branches.tsv
# baseline_manifest_sha256	66c47dd73d00565102847bc7c8431afe1e7be5909d4a08510f6adc0fea8e1ffb
# final_working_tree_head	8a557f08dbb3e87a5902663a78668ae37c5ada80
# baseline_NeutralPlacementGraphBuilder_sha256	82c5a72ba89ce5446901a7e08a4ec214e71176912f67e0bc3944b77d65c0b92c
# final_NeutralPlacementGraphBuilder_sha256	82c5a72ba89ce5446901a7e08a4ec214e71176912f67e0bc3944b77d65c0b92c
# baseline_CandidateClosureDependencies_sha256	8c36ee6dfb43aef988f9f8bbf7bb6cfe13f02b61b505016c03b37f8ce693ff7b
# final_CandidateClosureDependencies_sha256	8c36ee6dfb43aef988f9f8bbf7bb6cfe13f02b61b505016c03b37f8ce693ff7b
# baseline_NativePlacementContinuity_sha256	ead707f14789ee8411742c8c3acf3d68687c71f338df865631a232c52b7c0752
# final_NativePlacementContinuity_sha256	348bb741d20c6e4bfe1e8d3a014c60165b6b07a627690869e9e65e99915c7655
# baseline_CandidateSelections_sha256	dbebdac384ee5de8ce6d97e86e2876a99cda83852eb75c0d5c23ac74252ab1f6
# final_CandidateSelections_sha256	dbebdac384ee5de8ce6d97e86e2876a99cda83852eb75c0d5c23ac74252ab1f6
# baseline_RelocationSelections_sha256	2d19553730af5ed88f37ecfe7bb40a0125e324cebaa5eef8e1230eb86bcfc597
# final_RelocationSelections_sha256	2d19553730af5ed88f37ecfe7bb40a0125e324cebaa5eef8e1230eb86bcfc597
# baseline_PlacementIdentity_sha256	fdd24217f8fe8f87b102cff8b4f515d110e3cb06c7925d7490fc62d80a40a20b
# final_PlacementIdentity_sha256	fdd24217f8fe8f87b102cff8b4f515d110e3cb06c7925d7490fc62d80a40a20b
# final_manifest_sha256	e6339fccf03c7b1a09af34560cd0c0efe96d7ac55fdcd1789efd73b6d9f6dbe3
# comparison	tracked HEAD manifest versus exact scanner output from the current certified-canonical-group boundary-fastpath working tree
# pairing_rule	pair identical branch ID/file/kind/method with changed exact subtree digest as MODIFIED_SUBTREE; replacement implementation branches are classified independently because the old priority-queue and new monotone-boundary algorithms have no exact predicate counterpart
# modified_subtree_policy	a counterpart is present only for identical scanner branch identity with a changed exact subtree digest; every counterpart is reciprocal and digest-distinct
# completeness_scope	every HEAD-to-current manifest-key addition/removal is present exactly once; unchanged rows are intentionally omitted
# baseline_rows	6412
# final_rows	6417
# total_removed	31
# total_added	36
# total_delta	67
# count	ADDED	R2_BOUNDARY_FASTPATH_BOUNDARY_DEDUPLICATION	2
# count	ADDED	R2_BOUNDARY_FASTPATH_BOUNDARY_DUPLICATE_COUNT	1
# count	ADDED	R2_BOUNDARY_FASTPATH_EMPTY_GROUP_SCAN	1
# count	ADDED	R2_BOUNDARY_FASTPATH_EMPTY_GROUP_SKIP	3
# count	ADDED	R2_BOUNDARY_FASTPATH_EMPTY_RESULT	2
# count	ADDED	R2_BOUNDARY_FASTPATH_EXACT_FALLBACK	2
# count	ADDED	R2_BOUNDARY_FASTPATH_EXACT_FALLBACK_GUARD	3
# count	ADDED	R2_BOUNDARY_FASTPATH_LINEAR_CONCATENATION	2
# count	ADDED	R2_BOUNDARY_FASTPATH_MONOTONE_BOUNDARY_PROOF	1
# count	ADDED	R2_BOUNDARY_FASTPATH_REPLACEMENT_MODIFIED_SUBTREE	1
# count	ADDED	R2_BOUNDARY_FASTPATH_SINGLE_GROUP_NO_COPY	2
# count	ADDED	R2_CANONICAL_GROUP_TYPE_PROPAGATION	2
# count	ADDED	R2_CANONICAL_GROUP_TYPE_PROPAGATION_MODIFIED_SUBTREE	9
# count	ADDED	R2_CERTIFIED_CANONICAL_GROUP_BOUNDARY	5
# count	REMOVED	R2_BOUNDARY_FASTPATH_REPLACEMENT_MODIFIED_SUBTREE	1
# count	REMOVED	R2_CANONICAL_GROUP_TYPE_PROPAGATION	2
# count	REMOVED	R2_CANONICAL_GROUP_TYPE_PROPAGATION_MODIFIED_SUBTREE	9
# count	REMOVED	R2_CERTIFIED_CANONICAL_GROUP_BOUNDARY	1
# count	REMOVED	R2_REMOVED_STRUCTURAL_KEY_KWAY_HELPER	2
# count	REMOVED	R2_REPLACED_PRIORITY_QUEUE_KWAY_MERGE	16
direction	id	file	line_start	line_end	kind	method	classification	counterpart_id	snippet_sha256
REMOVED	BR-8ba8a0541a23c5c5	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	630	696	TRY	computeCandidateSupportAlternatives	R2_CANONICAL_GROUP_TYPE_PROPAGATION_MODIFIED_SUBTREE	BR-8ba8a0541a23c5c5	b113cff476262904c407465e19adce284e2701e6dff14523baeaa5d5479d32b9
REMOVED	BR-659bd0d93453b1db	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	640	682	IF	computeCandidateSupportAlternatives	R2_CANONICAL_GROUP_TYPE_PROPAGATION_MODIFIED_SUBTREE	BR-659bd0d93453b1db	948ca135aac46c8906aa1789974f5f1c6657a932ff0f4901c112675c3fb96370
REMOVED	BR-cb8de69600224833	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	641	682	ENHANCED_FOR	computeCandidateSupportAlternatives	R2_CANONICAL_GROUP_TYPE_PROPAGATION_MODIFIED_SUBTREE	BR-cb8de69600224833	bb63822d0cb4b1c9c7d4e110474a12195fc7d99fc7b0b71211287d1d9220a17f
REMOVED	BR-eb4f8320a6c3a4f3	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	647	667	ENHANCED_FOR	computeCandidateSupportAlternatives	R2_CANONICAL_GROUP_TYPE_PROPAGATION_MODIFIED_SUBTREE	BR-eb4f8320a6c3a4f3	f97a39f0cf4ef903b3667b5951d34eb9ebb75fed8d39517bc15df7c119fbda59
REMOVED	BR-a03e97b7df898fec	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	650	655	MERGE	computeCandidateSupportAlternatives	R2_CANONICAL_GROUP_TYPE_PROPAGATION	-	3723b49fb962eb29cfb7a416ddfdecf534460749d31692c86638741e6486ff15
REMOVED	BR-bd904920530b5406	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	740	796	TRY	computeDirectAcyclicSupport	R2_CANONICAL_GROUP_TYPE_PROPAGATION_MODIFIED_SUBTREE	BR-bd904920530b5406	abb78c5a0aaa626c82d21be77a8b3b576e3bc35ed45ce2a788925caf38a40dbf
REMOVED	BR-035baa6fcfd8c3da	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	746	783	IF	computeDirectAcyclicSupport	R2_CANONICAL_GROUP_TYPE_PROPAGATION_MODIFIED_SUBTREE	BR-035baa6fcfd8c3da	cc50a4f11989847d73e9d1226036461e9d86acb123496fc0f9ec833c91092a1f
REMOVED	BR-5cfa4d6987e38e3a	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	747	783	ENHANCED_FOR	computeDirectAcyclicSupport	R2_CANONICAL_GROUP_TYPE_PROPAGATION_MODIFIED_SUBTREE	BR-5cfa4d6987e38e3a	98d355b9c1da9bc8f92facb00b7e6dadc8aa4df1cec49312cc9b4bd74bba7b48
REMOVED	BR-6dad554c2107e6a3	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	750	770	ENHANCED_FOR	computeDirectAcyclicSupport	R2_CANONICAL_GROUP_TYPE_PROPAGATION_MODIFIED_SUBTREE	BR-6dad554c2107e6a3	ed427ff49caaae5c216cb0d9eedb7ec8553609dac4a18cb7876b68c3b4c38b08
REMOVED	BR-3888c775b3502267	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	957	958	RETURN	estimatedDirectSummaryBytes	R2_CANONICAL_GROUP_TYPE_PROPAGATION	-	c75101414d77748d1fea1b947414ef5e0556793bcb599b8adf82050eee090c99
REMOVED	BR-fb2b034b2d4c158b	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	978	978	RETURN	canonicalReferences	R2_CERTIFIED_CANONICAL_GROUP_BOUNDARY	-	e85a80f2021db0a5df9f997330189cf98925fa3549f20b50b434167d008b9325
REMOVED	BR-70e649c83045325c	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	993	1004	ENHANCED_FOR	mergeCanonicalReferenceGroups	R2_BOUNDARY_FASTPATH_REPLACEMENT_MODIFIED_SUBTREE	BR-70e649c83045325c	e006c46f1c4f01a2a544b70995045129160ebf4520476a6fc76d0feba914234c
