# G009 R2 k-way canonical reference merge candidate-affecting branch inventory delta review
# baseline_head	5fc4c7987bb2941f30a0eca0ca09d4e9e9edb28e
# baseline_manifest_source	HEAD:src/test/resources/org/apache/sysds/hops/fedplanner/placement/candidate-affecting-branches.tsv
# baseline_manifest_sha256	1aa4453133bd20d13290be4419e31ff022e2ca12f654655f9a935e29fbb56336
# final_working_tree_head	5fc4c7987bb2941f30a0eca0ca09d4e9e9edb28e
# baseline_NeutralPlacementGraphBuilder_sha256	82c5a72ba89ce5446901a7e08a4ec214e71176912f67e0bc3944b77d65c0b92c
# final_NeutralPlacementGraphBuilder_sha256	82c5a72ba89ce5446901a7e08a4ec214e71176912f67e0bc3944b77d65c0b92c
# baseline_CandidateClosureDependencies_sha256	8c36ee6dfb43aef988f9f8bbf7bb6cfe13f02b61b505016c03b37f8ce693ff7b
# final_CandidateClosureDependencies_sha256	8c36ee6dfb43aef988f9f8bbf7bb6cfe13f02b61b505016c03b37f8ce693ff7b
# baseline_NativePlacementContinuity_sha256	fbb28e3b11080b1db8917b8b7d973d05d548aa92ae337e0c8c5c8494708d621a
# final_NativePlacementContinuity_sha256	ead707f14789ee8411742c8c3acf3d68687c71f338df865631a232c52b7c0752
# baseline_CandidateSelections_sha256	dbebdac384ee5de8ce6d97e86e2876a99cda83852eb75c0d5c23ac74252ab1f6
# final_CandidateSelections_sha256	dbebdac384ee5de8ce6d97e86e2876a99cda83852eb75c0d5c23ac74252ab1f6
# baseline_RelocationSelections_sha256	2d19553730af5ed88f37ecfe7bb40a0125e324cebaa5eef8e1230eb86bcfc597
# final_RelocationSelections_sha256	2d19553730af5ed88f37ecfe7bb40a0125e324cebaa5eef8e1230eb86bcfc597
# baseline_PlacementIdentity_sha256	fdd24217f8fe8f87b102cff8b4f515d110e3cb06c7925d7490fc62d80a40a20b
# final_PlacementIdentity_sha256	fdd24217f8fe8f87b102cff8b4f515d110e3cb06c7925d7490fc62d80a40a20b
# final_manifest_sha256	66c47dd73d00565102847bc7c8431afe1e7be5909d4a08510f6adc0fea8e1ffb
# comparison	tracked HEAD manifest versus exact scanner output from the current k-way merge working tree
# pairing_rule	pair identical branch ID/file/kind/method with changed exact subtree digest as MODIFIED_PREDICATE; then pair exact file/kind/method/digest in stable order as moved/renumbered; classify every remaining row by the owning implementation change
# modified_predicate_policy	a MODIFIED_PREDICATE pair requires identical branch identity and different exact scanner subtree digests
# total_removed	7
# total_added	26
# total_delta	33
# count	ADDED	R2_KWAY_CANONICAL_REFERENCE_MERGE	20
# count	ADDED	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	6
# count	REMOVED	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	6
# count	REMOVED	R2_REPLACED_CONCATENATE_THEN_CANONICALIZE	1
direction	id	file	line_start	line_end	kind	method	classification	counterpart_id	snippet_sha256
REMOVED	BR-bd904920530b5406	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	740	797	TRY	computeDirectAcyclicSupport	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	BR-bd904920530b5406	3e2207b83a1f406f6eda070df5eba27e2dd0890442d42ea54921dcac0f66bc8d
REMOVED	BR-035baa6fcfd8c3da	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	746	784	IF	computeDirectAcyclicSupport	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	BR-035baa6fcfd8c3da	af39ba098d3ce564da8d9a53380f6e0952631b176083ac77ac2c5bece116569f
REMOVED	BR-5cfa4d6987e38e3a	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	747	784	ENHANCED_FOR	computeDirectAcyclicSupport	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	BR-5cfa4d6987e38e3a	68d88e20761eeaf651110759a641350cf5b549e2234c3559eef19a730e86981c
REMOVED	BR-6dad554c2107e6a3	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	750	771	ENHANCED_FOR	computeDirectAcyclicSupport	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	BR-6dad554c2107e6a3	7510d8571f3129b5471564804901723133e97cc22174ca806cf9549062bad581
REMOVED	BR-43b960d27880d6ea	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	755	761	ENHANCED_FOR	computeDirectAcyclicSupport	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	BR-43b960d27880d6ea	63017bd02b899521b8c7a69d03eb6cd8b0ee757540a05563bfd178e23ee1b8f4
REMOVED	BR-ccacfe7883ecab6f	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	757	760	IF	computeDirectAcyclicSupport	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	BR-ccacfe7883ecab6f	7117c47d081a89b959ff88c8264f3280a25d937eb925c60d480ecc2bf9ca1543
REMOVED	BR-41b93ff3cecc498d	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	758	758	MERGE	computeDirectAcyclicSupport	R2_REPLACED_CONCATENATE_THEN_CANONICALIZE	-	20d9529de7cc340f92727bc86eee8ef08efcace80c847bd6c11a8b3411b5db2f
ADDED	BR-bd904920530b5406	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	740	796	TRY	computeDirectAcyclicSupport	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	BR-bd904920530b5406	abb78c5a0aaa626c82d21be77a8b3b576e3bc35ed45ce2a788925caf38a40dbf
ADDED	BR-035baa6fcfd8c3da	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	746	783	IF	computeDirectAcyclicSupport	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	BR-035baa6fcfd8c3da	cc50a4f11989847d73e9d1226036461e9d86acb123496fc0f9ec833c91092a1f
ADDED	BR-5cfa4d6987e38e3a	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	747	783	ENHANCED_FOR	computeDirectAcyclicSupport	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	BR-5cfa4d6987e38e3a	98d355b9c1da9bc8f92facb00b7e6dadc8aa4df1cec49312cc9b4bd74bba7b48
