# Baseline: HEAD 35d1f49507a9cf3566674e68c6b97ccc1354d079
# Every manifest-key addition/removal is classified; counterpart is present only for exact predicate pairs.
direction	id	file	line_start	line_end	kind	method	classification	counterpart	snippet_sha256
ADDED	BR-df320ff459b16a47	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	194	194	TERNARY	<init>	NATIVE_CONTINUITY_ALGORITHMIC_REDESIGN	-	965683faecb6be949deba5579cbb1b86f4f96d0b0b9bb1ece0320df5497e2f97
ADDED	BR-4c4fedb15f151511	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	200	200	SHORT_CIRCUIT	<init>	NATIVE_CONTINUITY_ALGORITHMIC_REDESIGN	-	1525ea30525010aee7b350c38b2226385f8c6d049539768dfa3db1694e5890aa
ADDED	BR-b0f6b9237f982a87	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	200	201	SHORT_CIRCUIT	<init>	NATIVE_CONTINUITY_ALGORITHMIC_REDESIGN	-	a84122599b9c59cb59eebdac1f71cab9bab13501114134511051feda8423dcf3
ADDED	BR-5e23fc83ec024210	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	202	203	TERNARY	<init>	NATIVE_CONTINUITY_ALGORITHMIC_REDESIGN	-	910ac43f5f4aa740606e6ff826393332b516c9aa79f992baef49a673c0cc6e1a
ADDED	BR-e557b71e7db02a3e	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	204	205	TERNARY	<init>	NATIVE_CONTINUITY_ALGORITHMIC_REDESIGN	-	cac54a751bd7c0ad8910ed2c1193adcb980cb24a466107daac710a525b33636c
ADDED	BR-01656edd51fe35c3	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	206	207	TERNARY	<init>	NATIVE_CONTINUITY_ALGORITHMIC_REDESIGN	-	3a1412d0bf6dd75767590444ae8e10b3126cdce81ac06e04b12cc3e9650ea715
ADDED	BR-24cf0e0b677ae0f8	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	235	236	PROJECTION	nextRevision	SHARED_PROOF_SUPPORT_AND_REVISION_REDESIGN	-	d7a54e8c9b29df9d75aaa6b9c048f9f3d62a4bf1281f4025b78e08ea451d453b
ADDED	BR-6e6740ff60de3932	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	241	249	ENHANCED_FOR	nextRevision	SHARED_PROOF_SUPPORT_AND_REVISION_REDESIGN	-	bc97f5bb718fbf44dabe865fd6c8d22ad4ab5bcfce6188ff1cc4c5d9a7f93baa
ADDED	BR-1f56474a1b644f12	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	243	246	IF	nextRevision	SHARED_PROOF_SUPPORT_AND_REVISION_REDESIGN	-	efe251bcd6ee443aea2fb1f1633638c9ee081983dadc0677d86676f0b05633f9
ADDED	BR-c4050a1916a45d8c	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	243	245	SHORT_CIRCUIT	nextRevision	SHARED_PROOF_SUPPORT_AND_REVISION_REDESIGN	-	913f24440817550a7ab616a085f4d0688f7bef2a82e9335519460b3f368040e6
ADDED	BR-f385e5e410ef5590	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	246	246	CONTINUE	nextRevision	MOVED_WITH_UNCHANGED_PREDICATE	BR-ddcff19f78b1feb1	0bf37874b7af9907cc21dc845f1daf71d4f9392a2ca7a5b474c14db2db91e879
