cell,workers,planner,workload,profile,execution_seconds,full_lifecycle_seconds,attempt,oracle_passed,fallback,response_sha256,source_kind,campaign_root,stage,systemds_commit,systemds_jar_sha256,response_path
workers=1|planner=DP|workload=kmeans|profile=lan,1,DP,kmeans,lan,92.40133557,113.026219989,1,True,False,97cb4c5d67c843e4d9cc7b87809687e91ac364974c282c319da776dd1500685e,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/001-0d7aac79d30b/response.json
workers=1|planner=DP|workload=kmeans|profile=wan_light,1,DP,kmeans,wan_light,104.096972133,125.717054824,1,True,False,84bda536278835cae20b856e1e007998e776f4c0b46e868422b942e70ab7ad8c,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/002-1d2a37e2ae1b/response.json
workers=1|planner=DP|workload=kmeans|profile=wan_mid,1,DP,kmeans,wan_mid,160.018606903,180.751918096,1,True,False,914d7629f9940632b5d1af25c29db431efffadb930b47044711979caaff39934,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/003-c4ee70ae8d8f/response.json
workers=1|planner=DP|workload=pca|profile=lan,1,DP,pca,lan,77.800639709,98.296026911,1,True,False,d8ecf099196f3e02bde617cb9d2276beec5b614bab45369b2c8b1ce2751701a8,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/004-d8336e743aba/response.json
workers=1|planner=DP|workload=pca|profile=wan_light,1,DP,pca,wan_light,77.393694059,97.924663771,1,True,False,0b64afb48b533eceb8bfff6e29fd7f4d0695e27cc5a2f71cbf3679f1aff947f8,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/005-9a9725a896f2/response.json
workers=1|planner=DP|workload=pca|profile=wan_mid,1,DP,pca,wan_mid,79.820040721,100.380555344,1,True,False,ec79f293385853fc49ae08c26ff1e52abc936efde21ddc4a798ccbed61156b23,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/006-b1eb688b77b8/response.json
workers=1|planner=DP|workload=lm|profile=lan,1,DP,lm,lan,78.977915627,99.604630937,1,True,False,763be3b2654b4216f09d86bb2d5c3df6f8d9ff3d2ed3a19c2f2da473037b386f,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/007-51b87040a431/response.json
workers=1|planner=DP|workload=lm|profile=wan_light,1,DP,lm,wan_light,79.637929286,100.285222779,1,True,False,80f985c4a4818ab80c5731b7bfb41fc8ad245fe0da6b1516214413f88cf4a2ae,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/008-1b4816f0a193/response.json
workers=1|planner=DP|workload=lm|profile=wan_mid,1,DP,lm,wan_mid,86.826548845,107.324743989,1,True,False,75423c6d4df29885bf100b0a48458cedd801a3bc4ab5d678df7543bed957ded2,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/009-f1b4921b2620/response.json
workers=1|planner=DP|workload=l2svm|profile=lan,1,DP,l2svm,lan,26.442171905,46.9812633,1,True,False,9f76b1ffe7e2df4e3bf34203f7180a0aee77b2564ac45843bce5c0f7034eb8e0,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/010-0bab3fee69c6/response.json
workers=1|planner=DP|workload=l2svm|profile=wan_light,1,DP,l2svm,wan_light,30.619605704,51.198618688,1,True,False,ac5174aec400102afa210223c6b2849c862da5714d528e6d752b3131103e9bd4,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/011-30c3b1c2d1ed/response.json
workers=1|planner=DP|workload=l2svm|profile=wan_mid,1,DP,l2svm,wan_mid,39.005853178,59.637075146,1,True,False,a5abdcfc73fc5cef980d75f93e4aa5a3c4d0f6388385ee0b147beb2b4689c8af,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/012-18667e7c97b9/response.json
workers=1|planner=DP|workload=logreg|profile=lan,1,DP,logreg,lan,31.679255614,52.277685765,1,True,False,cdcaa69bdfb883a774135ed05bb673388453e91e511d77c3876022281aa65f91,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/013-3fa104ff0d8d/response.json
workers=1|planner=DP|workload=logreg|profile=wan_light,1,DP,logreg,wan_light,47.200574393,67.705173621,1,True,False,b0c68e6dd36f9a7ad82c5b5d1c616e5be476b059b623fcb221a33e0446c2b38b,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/014-82c324e4aa6b/response.json
workers=1|planner=DP|workload=logreg|profile=wan_mid,1,DP,logreg,wan_mid,90.250807003,110.704325739,1,True,False,4fb69ec808cfe344a44339a089e985c3164193d9c725fc6b69eb94b407b93cc6,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/015-75c66574cd89/response.json
workers=1|planner=DP|workload=als|profile=lan,1,DP,als,lan,114.416636975,135.063044038,1,True,False,e1dbf54e36216145cd10d5596f99a180a26682760203cc6fbc993e6a48dba43f,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/016-d27c2f8d82f6/response.json
workers=1|planner=DP|workload=als|profile=wan_light,1,DP,als,wan_light,121.751918857,142.288209291,1,True,False,2b16b2cdc0eadcf731876e9d818c53ea75a608cfc7aad9ddc9382800a82fd87b,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/017-6df67e3643cf/response.json
workers=1|planner=DP|workload=als|profile=wan_mid,1,DP,als,wan_mid,164.224949568,184.763002513,1,True,False,bbe1ba367eb56c9452f35e88dd5053e3a90a3e33bbec4c1fa833c37124409932,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/018-c86141f55cb6/response.json
workers=1|planner=DP|workload=steplm|profile=lan,1,DP,steplm,lan,39.724264791,60.291352037,1,True,False,fd423ba1987a21c9f44543ad0a54e811f3d78d227a504b9df574daa0cb36282c,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/019-01253edf6fd2/response.json
workers=1|planner=DP|workload=steplm|profile=wan_light,1,DP,steplm,wan_light,81.03082288,101.678636801,1,True,False,2a9f6d378b54f26da2cda27ec1a15ed2eaf6634a607924e2fc0bc18745e4fd18,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/020-838110e5924a/response.json
workers=1|planner=DP|workload=steplm|profile=wan_mid,1,DP,steplm,wan_mid,91.343323112,111.869255941,1,True,False,eafd921134c984eb708617a9ee48b5e5a6e545cb51ea600a354de4ce893aa4a6,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/021-f99c4cac657f/response.json
workers=2|planner=DP|workload=kmeans|profile=lan,2,DP,kmeans,lan,47.51390582,74.747234369,1,True,False,e3bccf1fd0b5d844834afd05c2ecd2b5c8a78d8088f9c10f2d19366b0a0455d2,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/022-3e682bc92a50/response.json
workers=2|planner=DP|workload=kmeans|profile=wan_light,2,DP,kmeans,wan_light,133.454751077,156.728780436,1,True,False,79406734ce4651db8967b46cb5508c76f32eedee41d4086efb6791af849cf1c2,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/023-2e8700b65dd4/response.json
workers=2|planner=DP|workload=kmeans|profile=wan_mid,2,DP,kmeans,wan_mid,196.701449135,220.017437572,1,True,False,67dd5d0377996e2cc12b819e0e1dd7fe871a1dab0c87f48a1e50801d62749e55,historical_campaign,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3,/home/mchoi/g007-fedall-l2svm-ternary-stage-705b8db-20260801-v2/g007-stage-0597ebfb0ffa034b659dfa055b9dd64fd5b1c9f671b7d8c6414257bd81b8ba40,705b8dbb62f52bc98ceb4d0fd3a39405f8e581c0,19968f40e8b337eaedf6299c9485a8cce1bdd571620fa07bb6578449ae1353d8,/home/mchoi/g007-all-planners-ternary-705b8db-d60da24-20260801-v3/planners/DP/cells/024-b2b87eab8c6f/response.json
