Operation Type,OPCode,isSupported,Condition,return Type
Global Condition,ALL,X,hop.isScalar(),
Global Condition,ALL,X,ft.length == 0,
DataGenOp,ALL,X,hop instanceof DataGenOp,
DnnOp,ALL,X,hop instanceof DnnOp,
FunctionOp,ALL,X,hop instanceof FunctionOp,
LiteralOp,ALL,X,hop instanceof LiteralOp,
AggBinaryOp,one federated,O,(ft[0] != null) != (ft[1] != null),ft[0] != null ? ft[0] : ft[1]
AggBinaryOp,COL × COL,O,ft[0] == FType.COL && ft[1] == FType.COL,ft[0]
AggBinaryOp,COL × ROW,O,ft[0] == FType.COL && ft[1] == FType.ROW,FType.ROW
AggBinaryOp,ROW × ROW,O,ft[0] == FType.ROW && ft[1] == FType.ROW,ft[0]
AggBinaryOp,X'X (LEFT),O,mmtsj.isLeft() && ft[0] == FType.ROW,FType.BROADCAST
AggBinaryOp,XX' (RIGHT),O,mmtsj.isRight() && ft[0] == FType.COL,FType.BROADCAST
AggUnaryOp,COL+RowAgg,X,ft[0] == FType.COL && !isColAgg,
AggUnaryOp,FULL/BROADCAST,X,ft[0] == FType.FULL || ft[0] == FType.BROADCAST,
AggUnaryOp,ROW+ColAgg,X,ft[0] == FType.ROW && isColAgg,
AggUnaryOp,OTHER,X,not in supported OpCode list,
AggUnaryOp,COUNT_DISTINCT,X,,
AggUnaryOp,COUNT_DISTINCT_APPROX,X,,
AggUnaryOp,PROD,X,,
AggUnaryOp,SUM_PROD,X,,
AggUnaryOp,TRACE,X,,
AggUnaryOp,UNIQUE,X,,
AggUnaryOp,COL+ColAgg,O,ft[0] == FType.COL && isColAgg,FType.COL
AggUnaryOp,ROW+RowAgg,O,ft[0] == FType.ROW && !isColAgg,FType.ROW
AggUnaryOp,MAX,O,ft[0] == FType.ROW || ft[0] == FType.COL,see direction rules
AggUnaryOp,MAXINDEX,O,ft[0] == FType.ROW || ft[0] == FType.COL,see direction rules
AggUnaryOp,MEAN,O,ft[0] == FType.ROW || ft[0] == FType.COL,see direction rules
AggUnaryOp,MIN,O,ft[0] == FType.ROW || ft[0] == FType.COL,see direction rules
AggUnaryOp,MININDEX,O,ft[0] == FType.ROW || ft[0] == FType.COL,see direction rules
AggUnaryOp,SUM,O,ft[0] == FType.ROW || ft[0] == FType.COL,see direction rules
AggUnaryOp,SUM_SQ,O,ft[0] == FType.ROW || ft[0] == FType.COL,see direction rules
AggUnaryOp,VAR,O,ft[0] == FType.ROW || ft[0] == FType.COL,see direction rules
BinaryOp,ALL,X,ft[0] != null && ft[1] != null && ft[0] != ft[1],
