hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes
2,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
2,test_fedall.log,LiteralOp localhost:38791/target/testTemp/functions/privacy/fedplanning/FederatedCNNPlanningTest/in/X1,62,CP,LOUT,none,NO_RULE,[],[4],[],[],null,[],[]
2,test_heuristic.log,LiteralOp localhost:36517/target/testTemp/functions/privacy/fedplanning/FederatedCNNPlanningTest/in/X1,60,CP,LOUT,none,NO_RULE,[],[4],[],[],null,[],[]
3,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
3,test_fedall.log,LiteralOp localhost:40015/target/testTemp/functions/privacy/fedplanning/FederatedCNNPlanningTest/in/X2,63,CP,LOUT,none,NO_RULE,[],[4],[],[],null,[],[]
3,test_heuristic.log,LiteralOp localhost:38931/target/testTemp/functions/privacy/fedplanning/FederatedCNNPlanningTest/in/X2,61,CP,LOUT,none,NO_RULE,[],[4],[],[],null,[],[]
4,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
4,test_fedall.log,m(list),64,CP,LOUT,none,NO_RULE,"[2, 3]",[58],[],[],null,"[null, null]",[]
4,test_heuristic.log,m(list),62,CP,LOUT,none,NO_RULE,"[2, 3]",[58],[],[],null,"[null, null]",[]
30,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
30,test_fedall.log,LiteralOp 0,65,CP,LOUT,none,NO_RULE,[],"[32, 50]",[],[],null,[],[]
30,test_heuristic.log,LiteralOp 0,63,CP,LOUT,none,NO_RULE,[],"[32, 50]",[],[],null,[],[]
32,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
32,test_fedall.log,m(list),66,CP,LOUT,none,NO_RULE,[30],[56],[],[],null,"[null, null]",[]
