hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes
357,test_cost.log,r(r'),408,CP,FOUT,null,<missing>,[352],[358],<missing>,<missing>,<missing>,<missing>,<missing>
357,test_fedall.log,r(r'),231,CP,LOUT,none,NO_RULE,[352],[358],[],[],null,[null],[]
357,test_heuristic.log,r(r'),231,CP,LOUT,none,NO_RULE,[352],[358],[],[],null,[null],[]
363,test_cost.log,r(r'),536,CP,FOUT,null,<missing>,[874],[364],<missing>,<missing>,<missing>,<missing>,<missing>
363,test_fedall.log,r(r'),235,CP,LOUT,none,NO_RULE,[874],[364],[],[],null,[null],[]
363,test_heuristic.log,r(r'),235,CP,LOUT,none,NO_RULE,[874],[364],[],[],null,[null],[]
657,test_cost.log,u(ucumk+),661,FED,FOUT,COL,<missing>,[656],[658],<missing>,<missing>,<missing>,<missing>,<missing>
657,test_fedall.log,u(ucumk+),358,CP,LOUT,none,NO_RULE,[656],[658],[],[],null,[COL],[]
657,test_heuristic.log,u(ucumk+),358,CP,LOUT,none,NO_RULE,[656],[658],[],[],null,[COL],[]
658,test_cost.log,r(r'),660,FED,FOUT,ROW,<missing>,[657],[660],<missing>,<missing>,<missing>,<missing>,<missing>
658,test_fedall.log,r(r'),359,CP,LOUT,none,NO_RULE,[657],[660],[],[],null,[null],[]
658,test_heuristic.log,r(r'),359,CP,LOUT,none,NO_RULE,[657],[660],[],[],null,[null],[]
660,test_cost.log,b(==),659,FED,FOUT,ROW,<missing>,"[658, 576]",[661],<missing>,<missing>,<missing>,<missing>,<missing>
660,test_fedall.log,b(==),360,CP,LOUT,none,NO_RULE,"[658, 576]",[661],[],[],null,"[null, null]",[]
660,test_heuristic.log,b(==),360,CP,LOUT,none,NO_RULE,"[658, 576]",[661],[],[],null,"[null, null]",[]
661,test_cost.log,ua(+R),658,FED,FOUT,ROW,<missing>,[660],[663],<missing>,<missing>,<missing>,<missing>,<missing>
661,test_fedall.log,ua(+R),361,CP,LOUT,none,NO_RULE,[660],[663],[],[],null,[null],[]
661,test_heuristic.log,ua(+R),361,CP,LOUT,none,NO_RULE,[660],[663],[],[],null,[null],[]
663,test_cost.log,b(+),657,FED,FOUT,ROW,<missing>,"[661, 578]",[664],<missing>,<missing>,<missing>,<missing>,<missing>
663,test_fedall.log,b(+),362,CP,LOUT,none,NO_RULE,"[661, 578]",[664],[],[],null,"[null, null]",[]
663,test_heuristic.log,b(+),362,CP,LOUT,none,NO_RULE,"[661, 578]",[664],[],[],null,"[null, null]",[]
664,test_cost.log,TWrite Y,656,FED,FOUT,ROW,<missing>,[663],[],<missing>,<missing>,<missing>,<missing>,<missing>
664,test_fedall.log,TWrite Y,363,CP,LOUT,none,NO_RULE,[663],[],[],[],null,[null],[]
664,test_heuristic.log,TWrite Y,363,CP,LOUT,none,NO_RULE,[663],[],[],[],null,[null],[]
708,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
708,test_fedall.log,LiteralOp localhost:45425/target/testTemp/functions/privacy/fedplanning/FederatedKMeansPlanningTest/in/X1,60,CP,LOUT,none,NO_RULE,[],[710],[],[],null,[],[]
708,test_heuristic.log,LiteralOp localhost:37457/target/testTemp/functions/privacy/fedplanning/FederatedKMeansPlanningTest/in/X1,60,CP,LOUT,none,NO_RULE,[],[710],[],[],null,[],[]
709,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
709,test_fedall.log,LiteralOp localhost:37957/target/testTemp/functions/privacy/fedplanning/FederatedKMeansPlanningTest/in/X2,61,CP,LOUT,none,NO_RULE,[],[710],[],[],null,[],[]
709,test_heuristic.log,LiteralOp localhost:44583/target/testTemp/functions/privacy/fedplanning/FederatedKMeansPlanningTest/in/X2,61,CP,LOUT,none,NO_RULE,[],[710],[],[],null,[],[]
710,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
710,test_fedall.log,m(list),62,CP,LOUT,none,NO_RULE,"[708, 709]",[764],[],[],null,"[null, null]",[]
710,test_heuristic.log,m(list),62,CP,LOUT,none,NO_RULE,"[708, 709]",[764],[],[],null,"[null, null]",[]
736,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
736,test_fedall.log,LiteralOp 0,63,CP,LOUT,none,NO_RULE,[],"[738, 756]",[],[],null,[],[]
