hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes
11,test_cost.log,LiteralOp 1000,307,CP,LOUT,null,<missing>,[],"[14, 14]",<missing>,<missing>,<missing>,<missing>,<missing>
11,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
11,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
12,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
12,test_fedall.log,LiteralOp 1,65,CP,LOUT,none,NO_RULE,[],[13],[],[],null,[],[]
12,test_heuristic.log,LiteralOp 1,65,CP,LOUT,none,NO_RULE,[],[13],[],[],null,[],[]
14,test_cost.log,PRead Y,301,CP,LOUT,null,<missing>,"[6, 7, 8, 9, 10, 11, 11, 13]","[117, 119, 121, 124, 485]",<missing>,<missing>,<missing>,<missing>,<missing>
14,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
14,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
17,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
17,test_fedall.log,LiteralOp localhost:35015/target/testTemp/functions/privacy/fedplanning/FederatedL2SVMPlanningTest/in/X1,68,CP,LOUT,none,NO_RULE,[],[19],[],[],null,[],[]
17,test_heuristic.log,LiteralOp localhost:41985/target/testTemp/functions/privacy/fedplanning/FederatedL2SVMPlanningTest/in/X1,68,CP,LOUT,none,NO_RULE,[],[19],[],[],null,[],[]
18,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
18,test_fedall.log,LiteralOp localhost:32909/target/testTemp/functions/privacy/fedplanning/FederatedL2SVMPlanningTest/in/X2,69,CP,LOUT,none,NO_RULE,[],[19],[],[],null,[],[]
18,test_heuristic.log,LiteralOp localhost:37749/target/testTemp/functions/privacy/fedplanning/FederatedL2SVMPlanningTest/in/X2,69,CP,LOUT,none,NO_RULE,[],[19],[],[],null,[],[]
19,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
19,test_fedall.log,m(list),70,CP,LOUT,none,NO_RULE,"[17, 18]",[73],[],[],null,"[null, null]",[]
19,test_heuristic.log,m(list),70,CP,LOUT,none,NO_RULE,"[17, 18]",[73],[],[],null,"[null, null]",[]
45,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
45,test_fedall.log,LiteralOp 0,71,CP,LOUT,none,NO_RULE,[],"[47, 65]",[],[],null,[],[]
45,test_heuristic.log,LiteralOp 0,71,CP,LOUT,none,NO_RULE,[],"[47, 65]",[],[],null,[],[]
47,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
47,test_fedall.log,m(list),72,CP,LOUT,none,NO_RULE,[45],[71],[],[],null,"[null, null]",[]
47,test_heuristic.log,m(list),72,CP,LOUT,none,NO_RULE,[45],[71],[],[],null,"[null, null]",[]
52,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
52,test_fedall.log,LiteralOp 1000,77,CP,LOUT,none,NO_RULE,[],"[54, 70]",[],[],null,[],[]
52,test_heuristic.log,LiteralOp 1000,77,CP,LOUT,none,NO_RULE,[],"[54, 70]",[],[],null,[],[]
55,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
55,test_fedall.log,LiteralOp 100,74,CP,LOUT,none,NO_RULE,[],"[56, 70]",[],[],null,[],[]
55,test_heuristic.log,LiteralOp 100,74,CP,LOUT,none,NO_RULE,[],"[56, 70]",[],[],null,[],[]
56,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
56,test_fedall.log,m(list),75,CP,LOUT,none,NO_RULE,"[399, 55]",[71],[],[],null,"[null, null]",[]
56,test_heuristic.log,m(list),75,CP,LOUT,none,NO_RULE,"[399, 55]",[71],[],[],null,"[null, null]",[]
65,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
65,test_fedall.log,m(list),76,CP,LOUT,none,NO_RULE,"[399, 45]",[71],[],[],null,"[null, null]",[]
