hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes
540,test_cost.log,LiteralOp 1000,120,CP,LOUT,null,<missing>,[],"[543, 543]",<missing>,<missing>,<missing>,<missing>,<missing>
540,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
540,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
541,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
541,test_fedall.log,LiteralOp 1,90,CP,LOUT,none,NO_RULE,[],[542],[],[],null,[],[]
541,test_heuristic.log,LiteralOp 1,88,CP,LOUT,none,NO_RULE,[],[542],[],[],null,[],[]
543,test_cost.log,PRead Y,114,CP,LOUT,null,<missing>,"[535, 536, 537, 538, 539, 540, 540, 542]","[612, 731]",<missing>,<missing>,<missing>,<missing>,<missing>
543,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
543,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
546,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
546,test_fedall.log,LiteralOp localhost:42023/target/testTemp/functions/privacy/fedplanning/FederatedLMPlanningTest/in/X1,62,CP,LOUT,none,NO_RULE,[],[548],[],[],null,[],[]
546,test_heuristic.log,LiteralOp localhost:44305/target/testTemp/functions/privacy/fedplanning/FederatedLMPlanningTest/in/X1,60,CP,LOUT,none,NO_RULE,[],[548],[],[],null,[],[]
547,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
547,test_fedall.log,LiteralOp localhost:35783/target/testTemp/functions/privacy/fedplanning/FederatedLMPlanningTest/in/X2,63,CP,LOUT,none,NO_RULE,[],[548],[],[],null,[],[]
547,test_heuristic.log,LiteralOp localhost:34221/target/testTemp/functions/privacy/fedplanning/FederatedLMPlanningTest/in/X2,61,CP,LOUT,none,NO_RULE,[],[548],[],[],null,[],[]
548,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
548,test_fedall.log,m(list),64,CP,LOUT,none,NO_RULE,"[546, 547]",[602],[],[],null,"[null, null]",[]
548,test_heuristic.log,m(list),62,CP,LOUT,none,NO_RULE,"[546, 547]",[602],[],[],null,"[null, null]",[]
574,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
574,test_fedall.log,LiteralOp 0,65,CP,LOUT,none,NO_RULE,[],"[576, 594, 611]",[],[],null,[],[]
574,test_heuristic.log,LiteralOp 0,63,CP,LOUT,none,NO_RULE,[],"[576, 594, 611]",[],[],null,[],[]
576,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
576,test_fedall.log,m(list),66,CP,LOUT,none,NO_RULE,[574],[600],[],[],null,"[null, null]",[]
576,test_heuristic.log,m(list),64,CP,LOUT,none,NO_RULE,[574],[600],[],[],null,"[null, null]",[]
581,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
581,test_fedall.log,LiteralOp 1000,71,CP,LOUT,none,NO_RULE,[],"[583, 599]",[],[],null,[],[]
581,test_heuristic.log,LiteralOp 1000,69,CP,LOUT,none,NO_RULE,[],"[583, 599]",[],[],null,[],[]
584,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
584,test_fedall.log,LiteralOp 100,68,CP,LOUT,none,NO_RULE,[],"[585, 599, 723, 734]",[],[],null,[],[]
584,test_heuristic.log,LiteralOp 100,66,CP,LOUT,none,NO_RULE,[],"[585, 599, 723, 734]",[],[],null,[],[]
594,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
594,test_fedall.log,m(list),70,CP,LOUT,none,NO_RULE,"[626, 574]",[600],[],[],null,"[null, null]",[]
594,test_heuristic.log,m(list),68,CP,LOUT,none,NO_RULE,"[626, 574]",[600],[],[],null,"[null, null]",[]
599,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
599,test_fedall.log,m(list),72,CP,LOUT,none,NO_RULE,"[581, 584]",[600],[],[],null,"[null, null]",[]
599,test_heuristic.log,m(list),70,CP,LOUT,none,NO_RULE,"[581, 584]",[600],[],[],null,"[null, null]",[]
600,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
600,test_fedall.log,m(list),73,CP,LOUT,none,NO_RULE,"[576, 585, 594, 599]",[602],[],[],null,"[null, null, null, null]",[]
600,test_heuristic.log,m(list),71,CP,LOUT,none,NO_RULE,"[576, 585, 594, 599]",[602],[],[],null,"[null, null, null, null]",[]
602,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
602,test_fedall.log,Fed X,75,FED,FOUT,ROW,OK,"[548, 600, 537]","[611, 719, 718]",[],[],null,"[null, null, null]",[]
602,test_heuristic.log,Fed X,73,FED,FOUT,ROW,OK,"[548, 600, 537]","[611, 719, 718]",[],[],null,"[null, null, null]",[]
603,test_cost.log,Fed X,112,FED,FOUT,ROW,<missing>,[],"[612, 720, 719]",<missing>,<missing>,<missing>,<missing>,<missing>
603,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
603,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
613,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
613,test_fedall.log,LiteralOp target/testTemp/functions/privacy/fedplanning/FederatedLMPlanningTest/out/Z,94,CP,LOUT,none,NO_RULE,[],[619],[],[],null,[],[]
613,test_heuristic.log,LiteralOp target/testTemp/functions/privacy/fedplanning/FederatedLMPlanningTest/out/Z,92,CP,LOUT,none,NO_RULE,[],[619],[],[],null,[],[]
616,test_cost.log,LiteralOp :,124,CP,LOUT,null,<missing>,[],[620],<missing>,<missing>,<missing>,<missing>,<missing>
616,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
616,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
618,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
618,test_fedall.log,"LiteralOp ,",97,CP,LOUT,none,NO_RULE,[],[619],[],[],null,[],[]
618,test_heuristic.log,"LiteralOp ,",95,CP,LOUT,none,NO_RULE,[],[619],[],[],null,[],[]
620,test_cost.log,PWrite B,99,CP,LOUT,null,<missing>,"[717, 614, 615, 616, 538, 615, 619]",[],<missing>,<missing>,<missing>,<missing>,<missing>
620,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
620,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
626,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
626,test_fedall.log,LiteralOp 500.0,67,CP,LOUT,none,NO_RULE,[],"[585, 594]",[],[],null,[],[]
626,test_heuristic.log,LiteralOp 500.0,65,CP,LOUT,none,NO_RULE,[],"[585, 594]",[],[],null,[],[]
716,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
