hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes
2,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
2,test_fedall.log,LiteralOp localhost:34587/target/testTemp/functions/privacy/fedplanning/FederatedLogRegPlanningTest/in/X1,60,CP,LOUT,none,NO_RULE,[],[4],[],[],null,[],[]
2,test_heuristic.log,LiteralOp localhost:33925/target/testTemp/functions/privacy/fedplanning/FederatedLogRegPlanningTest/in/X1,60,CP,LOUT,none,NO_RULE,[],[4],[],[],null,[],[]
3,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
3,test_fedall.log,LiteralOp localhost:40831/target/testTemp/functions/privacy/fedplanning/FederatedLogRegPlanningTest/in/X2,61,CP,LOUT,none,NO_RULE,[],[4],[],[],null,[],[]
3,test_heuristic.log,LiteralOp localhost:36051/target/testTemp/functions/privacy/fedplanning/FederatedLogRegPlanningTest/in/X2,61,CP,LOUT,none,NO_RULE,[],[4],[],[],null,[],[]
4,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
4,test_fedall.log,m(list),62,CP,LOUT,none,NO_RULE,"[2, 3]",[58],[],[],null,"[null, null]",[]
4,test_heuristic.log,m(list),62,CP,LOUT,none,NO_RULE,"[2, 3]",[58],[],[],null,"[null, null]",[]
30,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
30,test_fedall.log,LiteralOp 0,63,CP,LOUT,none,NO_RULE,[],"[32, 50]",[],[],null,[],[]
30,test_heuristic.log,LiteralOp 0,63,CP,LOUT,none,NO_RULE,[],"[32, 50]",[],[],null,[],[]
32,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
32,test_fedall.log,m(list),64,CP,LOUT,none,NO_RULE,[30],[56],[],[],null,"[null, null]",[]
32,test_heuristic.log,m(list),64,CP,LOUT,none,NO_RULE,[30],[56],[],[],null,"[null, null]",[]
37,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
37,test_fedall.log,LiteralOp 1000,69,CP,LOUT,none,NO_RULE,[],"[39, 55]",[],[],null,[],[]
37,test_heuristic.log,LiteralOp 1000,69,CP,LOUT,none,NO_RULE,[],"[39, 55]",[],[],null,[],[]
40,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
40,test_fedall.log,LiteralOp 100,66,CP,LOUT,none,NO_RULE,[],"[41, 55]",[],[],null,[],[]
40,test_heuristic.log,LiteralOp 100,66,CP,LOUT,none,NO_RULE,[],"[41, 55]",[],[],null,[],[]
41,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
41,test_fedall.log,m(list),67,CP,LOUT,none,NO_RULE,"[277, 40]",[56],[],[],null,"[null, null]",[]
41,test_heuristic.log,m(list),67,CP,LOUT,none,NO_RULE,"[277, 40]",[56],[],[],null,"[null, null]",[]
50,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
50,test_fedall.log,m(list),68,CP,LOUT,none,NO_RULE,"[277, 30]",[56],[],[],null,"[null, null]",[]
50,test_heuristic.log,m(list),68,CP,LOUT,none,NO_RULE,"[277, 30]",[56],[],[],null,"[null, null]",[]
55,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
55,test_fedall.log,m(list),70,CP,LOUT,none,NO_RULE,"[37, 40]",[56],[],[],null,"[null, null]",[]
55,test_heuristic.log,m(list),70,CP,LOUT,none,NO_RULE,"[37, 40]",[56],[],[],null,"[null, null]",[]
56,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
56,test_fedall.log,m(list),71,CP,LOUT,none,NO_RULE,"[32, 41, 50, 55]",[58],[],[],null,"[null, null, null, null]",[]
56,test_heuristic.log,m(list),71,CP,LOUT,none,NO_RULE,"[32, 41, 50, 55]",[58],[],[],null,"[null, null, null, null]",[]
65,test_cost.log,LiteralOp 1000,176,CP,LOUT,null,<missing>,[],"[68, 68]",<missing>,<missing>,<missing>,<missing>,<missing>
65,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
65,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
66,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
66,test_fedall.log,LiteralOp 1,79,CP,LOUT,none,NO_RULE,[],[67],[],[],null,[],[]
66,test_heuristic.log,LiteralOp 1,79,CP,LOUT,none,NO_RULE,[],[67],[],[],null,[],[]
69,test_cost.log,TWrite Y,169,CP,LOUT,null,<missing>,[68],[],<missing>,<missing>,<missing>,<missing>,<missing>
69,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
69,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
80,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
80,test_fedall.log,ua(maxRC),82,CP,LOUT,none,NO_RULE,[67],[81],[],[],null,[null],[]
80,test_heuristic.log,ua(maxRC),82,CP,LOUT,none,NO_RULE,[67],[81],[],[],null,[null],[]
95,test_cost.log,TWrite Y,195,CP,LOUT,null,<missing>,[94],[],<missing>,<missing>,<missing>,<missing>,<missing>
95,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
95,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
97,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
97,test_fedall.log,TWrite max_y,97,CP,LOUT,none,NO_RULE,[92],[],[],[],null,[null],[]
97,test_heuristic.log,TWrite max_y,97,CP,LOUT,none,NO_RULE,[92],[],[],[],null,[null],[]
100,test_cost.log,TRead Y,194,CP,LOUT,null,<missing>,[95],[290],<missing>,<missing>,<missing>,<missing>,<missing>
100,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
100,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
102,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
102,test_fedall.log,LiteralOp 1,106,CP,LOUT,none,NO_RULE,[],"[103, 110, 138, 164]",[],[],null,[],[]
102,test_heuristic.log,LiteralOp 1,106,CP,LOUT,none,NO_RULE,[],"[103, 110, 138, 164]",[],[],null,[],[]
103,test_cost.log,LiteralOp 1,210,CP,LOUT,null,<missing>,[],"[104, 104, 111, 139, 139, 139, 165, 165, 165]",<missing>,<missing>,<missing>,<missing>,<missing>
103,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
103,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
104,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
104,test_fedall.log,LiteralOp 1.0,109,CP,LOUT,none,NO_RULE,[],"[138, 164, 184]",[],[],null,[],[]
104,test_heuristic.log,LiteralOp 1.0,109,CP,LOUT,none,NO_RULE,[],"[138, 164, 184]",[],[],null,[],[]
105,test_cost.log,LiteralOp 1.0,186,CP,LOUT,null,<missing>,[],"[139, 139, 165, 165, 185, 185]",<missing>,<missing>,<missing>,<missing>,<missing>
105,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
105,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
107,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
107,test_fedall.log,TWrite Y_indicator,104,CP,LOUT,none,NO_RULE,[289],[],[],[],null,[null],[]
107,test_heuristic.log,TWrite Y_indicator,104,CP,LOUT,none,NO_RULE,[289],[],[],[],null,[null],[]
109,test_cost.log,u(ncol),192,CP,LOUT,null,<missing>,[290],[111],<missing>,<missing>,<missing>,<missing>,<missing>
109,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
