hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes
23,test_cost.log,ua(meanC),230,FED,LOUT,null,<missing>,[260],"[24, 33]",<missing>,<missing>,<missing>,<missing>,<missing>
23,test_fedall.log,ua(meanC),112,CP,LOUT,none,NO_RULE,[260],"[24, 33]",[],[],null,[ROW],[]
23,test_heuristic.log,ua(meanC),112,CP,LOUT,none,NO_RULE,[260],"[24, 33]",[],[],null,[ROW],[]
41,test_cost.log,fcall _internal EIGEN,223,CP,LOUT,null,<missing>,[234],[],<missing>,<missing>,<missing>,<missing>,<missing>
41,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
41,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
42,test_cost.log,TRead eigen_values,184,CP,LOUT,null,<missing>,[],[49],<missing>,<missing>,<missing>,<missing>,<missing>
42,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
42,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
44,test_cost.log,TRead eigen_vectors,181,CP,LOUT,null,<missing>,[],[55],<missing>,<missing>,<missing>,<missing>,<missing>
44,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
44,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
45,test_cost.log,TRead K,190,CP,LOUT,null,<missing>,[16],[59],<missing>,<missing>,<missing>,<missing>,<missing>
45,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
45,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
47,test_cost.log,LiteralOp true,186,CP,LOUT,null,<missing>,[],"[49, 49]",<missing>,<missing>,<missing>,<missing>,<missing>
47,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
47,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
49,test_cost.log,r(sort),183,CP,LOUT,null,<missing>,"[42, 51, 47, 47]",[54],<missing>,<missing>,<missing>,<missing>,<missing>
49,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
49,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
51,test_cost.log,LiteralOp 1,185,CP,LOUT,null,<missing>,[],"[52, 52, 49, 59, 59]",<missing>,<missing>,<missing>,<missing>,<missing>
51,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
51,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
53,test_cost.log,LiteralOp 1.0,188,CP,LOUT,null,<missing>,[],[54],<missing>,<missing>,<missing>,<missing>,<missing>
53,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
53,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
54,test_cost.log,t(ctable),182,CP,LOUT,null,<missing>,"[49, 235, 53]",[55],<missing>,<missing>,<missing>,<missing>,<missing>
54,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
54,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
55,test_cost.log,ba(+*),180,CP,LOUT,null,<missing>,"[44, 54]","[58, 59]",<missing>,<missing>,<missing>,<missing>,<missing>
55,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
55,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
58,test_cost.log,u(nrow),189,CP,LOUT,null,<missing>,[55],[59],<missing>,<missing>,<missing>,<missing>,<missing>
58,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
58,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
59,test_cost.log,rix,179,CP,LOUT,null,<missing>,"[55, 51, 58, 51, 45]","[75, 236]",<missing>,<missing>,<missing>,<missing>,<missing>
59,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
59,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
74,test_cost.log,TRead X,193,FED,FOUT,ROW,<missing>,[261],[75],<missing>,<missing>,<missing>,<missing>,<missing>
74,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
74,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
75,test_cost.log,ba(+*),178,FED,FOUT,ROW,<missing>,"[59, 74]","[76, 80]",<missing>,<missing>,<missing>,<missing>,<missing>
75,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
75,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
76,test_cost.log,TWrite XReduced,177,FED,FOUT,ROW,<missing>,[75],[],<missing>,<missing>,<missing>,<missing>,<missing>
76,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
76,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
80,test_cost.log,CONTAINS,218,CP,LOUT,null,<missing>,"[75, 218]",[81],<missing>,<missing>,<missing>,<missing>,<missing>
80,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
80,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
81,test_cost.log,TWrite containsInf,217,CP,LOUT,null,<missing>,[80],[],<missing>,<missing>,<missing>,<missing>,<missing>
81,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
81,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
82,test_cost.log,TRead containsInf,216,CP,LOUT,null,<missing>,[81],[83],<missing>,<missing>,<missing>,<missing>,<missing>
82,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
82,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
83,test_cost.log,TWrite __pred,215,CP,LOUT,null,<missing>,[82],[],<missing>,<missing>,<missing>,<missing>,<missing>
83,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
83,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
84,test_cost.log,TRead XReduced,176,CP,LOUT,null,<missing>,[76],[89],<missing>,<missing>,<missing>,<missing>,<missing>
84,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
84,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
86,test_cost.log,LiteralOp 0,197,CP,LOUT,null,<missing>,[],"[87, 89]",<missing>,<missing>,<missing>,<missing>,<missing>
86,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
86,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
89,test_cost.log,REPLACE,175,CP,LOUT,null,<missing>,"[84, 220, 86]",[90],<missing>,<missing>,<missing>,<missing>,<missing>
89,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
89,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
90,test_cost.log,TWrite XReduced,174,CP,LOUT,null,<missing>,[89],[],<missing>,<missing>,<missing>,<missing>,<missing>
90,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
90,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
145,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
145,test_fedall.log,LiteralOp localhost:46713/target/testTemp/functions/privacy/fedplanning/FederatedPCAPlanningTest/in/X1,62,CP,LOUT,none,NO_RULE,[],[147],[],[],null,[],[]
145,test_heuristic.log,LiteralOp localhost:41127/target/testTemp/functions/privacy/fedplanning/FederatedPCAPlanningTest/in/X1,62,CP,LOUT,none,NO_RULE,[],[147],[],[],null,[],[]
146,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
146,test_fedall.log,LiteralOp localhost:35329/target/testTemp/functions/privacy/fedplanning/FederatedPCAPlanningTest/in/X2,63,CP,LOUT,none,NO_RULE,[],[147],[],[],null,[],[]
146,test_heuristic.log,LiteralOp localhost:34745/target/testTemp/functions/privacy/fedplanning/FederatedPCAPlanningTest/in/X2,63,CP,LOUT,none,NO_RULE,[],[147],[],[],null,[],[]
147,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
147,test_fedall.log,m(list),64,CP,LOUT,none,NO_RULE,"[145, 146]",[201],[],[],null,"[null, null]",[]
147,test_heuristic.log,m(list),64,CP,LOUT,none,NO_RULE,"[145, 146]",[201],[],[],null,"[null, null]",[]
173,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
173,test_fedall.log,LiteralOp 0,65,CP,LOUT,none,NO_RULE,[],"[175, 193]",[],[],null,[],[]
173,test_heuristic.log,LiteralOp 0,65,CP,LOUT,none,NO_RULE,[],"[175, 193]",[],[],null,[],[]
175,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
175,test_fedall.log,m(list),66,CP,LOUT,none,NO_RULE,[173],[199],[],[],null,"[null, null]",[]
175,test_heuristic.log,m(list),66,CP,LOUT,none,NO_RULE,[173],[199],[],[],null,"[null, null]",[]
180,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
180,test_fedall.log,LiteralOp 1000,71,CP,LOUT,none,NO_RULE,[],"[182, 198]",[],[],null,[],[]
180,test_heuristic.log,LiteralOp 1000,71,CP,LOUT,none,NO_RULE,[],"[182, 198]",[],[],null,[],[]
183,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
183,test_fedall.log,LiteralOp 100,68,CP,LOUT,none,NO_RULE,[],"[184, 198]",[],[],null,[],[]
183,test_heuristic.log,LiteralOp 100,68,CP,LOUT,none,NO_RULE,[],"[184, 198]",[],[],null,[],[]
184,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
184,test_fedall.log,m(list),69,CP,LOUT,none,NO_RULE,"[222, 183]",[199],[],[],null,"[null, null]",[]
